RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GL;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP (Socialistische Partij);De Groenen;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie
Niedorp;G0412;10923;Noord-Holland;P27;5888;4856;20;;4836;1789;1533;821;383;235;3;6;4;10;10;25;2;3;7;1;;2;2;;;;;;;
Nieuwe Pekela;G0030;10950;Groningen;P20;3814;3233;13;;3220;838;1642;302;116;144;23;32;72;8;2;5;3;;17;13;1;1;;1;;;;;;
Nieuwegein;G0356;10374;Utrecht;P26;41634;32417;22;;32395;10762;9422;5898;3566;1317;260;308;187;335;148;73;42;28;13;10;2;3;;9;1;6;5;;;
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;13304;11148;24;;11124;3396;2736;2564;1145;278;494;188;135;103;16;28;14;10;3;5;2;6;;1;;;;;;
Nieuweschans;G0031;10008;Groningen;P20;1315;1142;4;;1138;84;828;85;37;56;1;;2;6;;2;;;33;1;1;2;;;;;;;;
Nieuw-Ginneken;G0817;10406;Noord-Brabant;P30;9063;7719;21;;7698;3796;1591;1422;604;155;3;15;11;46;8;22;9;;2;4;7;2;;1;;;;;;
Nieuwkoop;G0569;10728;Zuid-Holland;P28;7813;6442;35;;6407;2983;1112;1241;518;189;131;27;129;22;5;27;11;4;5;2;1;;;;;;;;;
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;5905;5118;12;;5106;1251;1551;371;303;71;1193;145;154;30;11;14;3;1;4;3;;;;1;;;;;;
Nieuwleusen;G0170;10384;Overijssel;P23;5996;5187;13;;5174;2469;1180;604;238;56;175;334;83;13;2;7;6;2;;2;2;;;1;;;;;;
Nieuwolda;G0032;10126;Groningen;P20;1227;1091;6;;1085;226;590;151;37;40;;14;8;3;1;8;;;4;3;;;;;;;;;;
Nieuwveen;G0573;10487;Zuid-Holland;P28;2715;2072;3;;2069;1229;228;309;138;65;43;9;25;9;6;6;;;1;;;;;;;1;;;;
Nieuw-Vossemeer;G0818;10401;Noord-Brabant;P30;1761;1469;8;;1461;597;606;138;71;24;;3;1;10;1;6;3;;;;1;;;;;;;;;
Nijefurd;G0104;10768;Fryslân;P21;7732;6823;25;;6798;3452;1787;647;374;288;16;79;104;11;7;14;8;;;5;2;4;;;;;;;;
Nijeveen;G0121;10774;Drenthe;P22;2113;1932;5;;1927;912;479;297;144;18;6;39;22;1;1;4;;;2;1;;;;1;;;;;;
Nijkerk;G0267;10446;Gelderland;P25;18221;15589;46;;15543;7357;3034;1734;921;235;1048;458;598;86;5;32;9;7;3;3;5;5;;3;;;;;;
Nijmegen;G0268;11209;Gelderland;P25;114090;88500;286;;88214;24636;35687;6763;8543;9498;63;269;125;576;1208;432;176;;24;26;105;18;48;17;;;;;;
Nistelrode;G0819;10094;Noord-Brabant;P30;5092;4232;16;;4216;2611;1010;261;169;59;1;3;1;5;85;8;;;;;1;;;2;;;;;;
Noorder-Koggenland;G0529;10924;Noord-Holland;P27;6835;5866;21;;5845;1842;1557;1427;461;243;83;42;76;39;9;27;9;6;8;4;1;6;5;;;;;;;
Noordoostpolder;G0171;10144;Flevoland;P24;27162;23647;60;;23587;10374;5912;3213;1549;584;435;765;534;97;13;37;19;;5;27;5;7;;11;;;;;;
Noordwijk;G0575;10769;Zuid-Holland;P28;18580;14900;35;;14865;6084;3162;3409;1050;668;88;93;114;77;21;37;21;24;3;6;5;2;;1;;;;;;
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;11095;9242;35;;9207;4691;1449;1941;648;316;10;28;12;37;10;28;16;5;3;3;7;3;;;;;;;;
Nootdorp;G0577;10601;Zuid-Holland;P28;4918;4082;13;;4069;2286;506;748;293;110;19;22;16;37;2;17;2;5;;3;2;1;;;;;;;;
Norg;G0120;10608;Drenthe;P22;5092;4341;13;;4328;827;1641;1143;404;153;6;53;26;26;1;11;5;;2;28;;2;;;;;;;;
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;15030;12808;19;;12789;5943;2598;2139;1411;491;20;54;14;40;31;22;15;7;;;2;;;2;;;;;;
Nuland;G0821;10118;Noord-Brabant;P30;3372;2771;11;;2760;1718;585;180;160;42;1;1;;12;49;5;2;1;;1;2;1;;;;;;;;
Nunspeet;G0302;10512;Gelderland;P25;17723;15976;25;;15951;6370;2094;1999;633;193;3070;275;1198;52;9;18;10;12;4;8;4;2;;;;;;;;
Nuth;G0951;10104;Limburg;P31;13145;11307;46;;11261;5709;3519;896;596;344;5;29;9;43;35;21;27;7;4;4;1;9;;3;;;;;;
Obdam;G0429;11338;Noord-Holland;P27;4213;3679;11;;3668;2055;585;552;282;147;2;3;6;10;3;9;5;1;2;3;;1;2;;;;;;;
Odoorn;G0122;11320;Drenthe;P22;9525;8366;41;;8325;1789;4272;1344;461;170;10;108;96;23;8;11;7;;12;13;;1;;;;;;;;
Oeffelt;G0822;10360;Noord-Brabant;P30;1678;1451;5;;1446;821;375;118;82;36;;3;2;1;3;5;;;;;;;;;;;;;;
Oegstgeest;G0579;10287;Zuid-Holland;P28;13675;11705;31;;11674;3753;2239;3223;1470;485;59;191;62;47;20;69;15;29;5;3;;1;;3;;;;;;
Ohé en Laak;G0953;10420;Limburg;P31;658;562;4;;558;355;100;69;17;9;2;;2;;;1;1;1;;;1;;;;;;;;;
