RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;SP (Socialistische Partij);Lijst Pim Fortuyn;GL;Democraten 66 (D66);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen
Zevenaar;G0299;10938;Gelderland;P25;20248;16417;;11;16406;5632;4700;2609;1114;729;695;641;76;14;80;63;23;14;4;4;3;;5;
Zevenhuizen-Moerkapelle;G1666;11377;Zuid-Holland;P28;7341;6471;;9;6462;2005;1217;1301;139;415;115;198;271;721;28;36;4;5;0;2;3;1;1;
Zijpe;G0476;10004;Noord-Holland;P27;8586;7203;;10;7193;2104;1912;1713;336;405;293;278;33;4;54;34;11;7;5;3;;;1;
Zoetermeer;G0637;10766;Zuid-Holland;P28;83304;67427;;93;67334;15079;18016;15412;4264;4991;3103;3607;1200;592;452;321;66;85;23;20;36;56;11;
Zoeterwoude;G0638;11074;Zuid-Holland;P28;6308;5358;;12;5346;2095;968;1075;288;302;281;219;25;32;25;15;6;8;1;1;2;1;2;
Zuidhorn;G0056;10021;Groningen;P20;13105;11870;;19;11851;4016;2989;1256;564;296;608;362;1567;96;48;25;13;3;1;5;;;2;
Zundert;G0879;11192;Noord-Brabant;P30;15186;11670;;11;11659;4939;2336;2187;685;702;328;305;34;2;28;66;31;11;1;0;1;0;3;
Zutphen;G0301;10254;Gelderland;P25;27583;22532;;28;22504;4070;8566;3162;2194;821;1916;1056;418;31;110;93;22;17;13;8;5;;2;
Zwartewaterland;G1896;10746;Overijssel;P23;15321;13540;;5;13535;5114;2314;1181;374;335;232;166;1709;2060;;23;11;11;;5;0;;;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;34371;27823;;28;27795;7823;7056;4955;1211;2517;875;935;1084;966;146;105;33;40;11;8;20;6;1;3
Zwolle;G0193;10093;Overijssel;P23;83922;69535;;71;69464;17655;22054;9634;4629;2360;4819;2883;4710;344;;184;91;43;;41;17;;;
