RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;Partij van de Arbeid (P.v.d.A.);PVV (Partij voor de Vrijheid);CDA;SP (Socialistische Partij);Democraten 66 (D66);GROENLINKS;ChristenUnie;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;TROTS op Nederland Lijst Rita Verdonk;Partij voor Mens en Spirit (MenS);Piratenpartij;Lijst 17;Partij TTn;Nieuw Nederland;Heel NL;Evangelische Partij Nederland
Heeze-Leende;G1658;10462;Noord-Brabant;P30;11886;9428;9;4;9415;2265;1140;1300;2246;1176;616;404;68;3;91;71;20;5;7;1;1;1;
Heiloo;G0399;10793;Noord-Holland;P27;17296;14350;20;8;14322;4077;2843;1395;1940;914;1362;1240;134;15;227;88;55;9;15;1;3;4;0
Hellendoorn;G0163;10806;Overijssel;P23;27480;21901;20;9;21872;3245;3155;2660;7194;2099;933;904;1223;115;166;105;37;13;16;2;4;1;
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;30626;21902;34;27;21841;5923;3474;5297;1571;2321;1034;1116;357;72;378;166;70;20;20;5;8;9;
Helmond;G0794;10932;Noord-Brabant;P30;64148;44780;91;32;44657;8622;7349;10420;5437;7010;2223;2246;272;13;457;377;112;56;44;4;6;9;
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;19910;15754;21;16;15717;3624;2033;2465;2062;1136;677;548;998;1895;157;71;18;10;16;0;5;2;
Hengelo;G0164;10907;Overijssel;P23;61168;46358;71;40;46247;8170;10358;6012;7178;6360;3323;2727;1096;60;477;222;138;76;29;4;5;12;
Het Bildt;G0063;10128;Fryslân;P21;8005;6029;8;3;6018;869;1409;685;1337;814;201;342;224;17;65;18;24;5;5;1;2;;0
Heumen;G0252;10600;Gelderland;P25;12515;10265;10;10;10245;2099;1914;1123;1827;1264;898;831;76;2;124;36;33;6;10;0;0;2;
Heusden;G0797;10307;Noord-Brabant;P30;32728;24814;46;20;24748;5644;3361;4723;4325;3163;1542;1079;226;37;271;233;77;21;33;7;4;2;
Hillegom;G0534;11236;Zuid-Holland;P28;15634;12473;15;2;12456;3476;1814;2151;1797;975;862;769;161;66;222;93;29;15;18;4;3;1;
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;11467;9131;8;2;9121;2108;1293;1112;2144;1178;545;452;41;9;110;82;32;2;11;1;0;1;
Hilversum;G0402;11285;Noord-Holland;P27;63505;48994;73;30;48891;11524;10048;6527;4474;4315;5189;4011;1285;235;808;199;133;90;31;14;8;;
Hof van Twente;G1735;10076;Overijssel;P23;27296;21952;24;12;21916;4985;4102;2625;5662;1726;1314;813;278;48;162;126;41;13;15;1;3;2;
Hoogeveen;G0118;10839;Drenthe;P22;42317;31479;57;16;31406;4654;6045;4936;6987;3238;1037;1266;2247;429;257;191;65;18;25;1;4;6;
Hoogezand-Sappemeer;G0018;10410;Groningen;P20;26952;18647;20;25;18602;2706;5796;2855;1355;2472;879;1221;774;58;294;99;32;23;21;5;6;;6
Hoorn;G0405;11392;Noord-Holland;P27;52833;39127;62;41;39024;9128;8718;5768;3511;4470;2830;2896;509;55;641;231;131;57;47;7;8;5;12
Horst aan de Maas;G1507;11108;Limburg;P31;31518;24101;36;25;24040;4000;2638;4885;6124;3712;1056;1025;108;12;211;158;66;22;16;2;2;3;
Houten;G0321;10230;Utrecht;P26;34625;28716;26;17;28673;7102;4580;3702;3629;2196;2482;2188;1579;626;305;157;68;34;16;5;2;2;
Huizen;G0406;11170;Noord-Holland;P27;31848;25407;36;19;25352;6897;4012;3252;3575;1730;1966;1564;1319;455;338;104;84;23;19;8;6;;
Hulst;G0677;11408;Zeeland;P29;20358;14586;27;13;14546;2686;2640;3054;2714;1657;527;728;113;24;182;151;30;17;14;4;5;;
IJsselstein;G0353;10152;Utrecht;P26;25051;19498;28;10;19460;5325;3449;3085;2309;1764;1413;1103;469;185;185;100;42;13;7;9;1;1;
Kaag en Braassem;G1884;10349;Zuid-Holland;P28;19563;15859;14;6;15839;4624;1788;2505;3248;1168;1066;841;187;46;180;116;33;14;15;3;3;2;
Kampen;G0166;10253;Overijssel;P23;36954;29468;42;37;29389;3594;4543;3231;5869;2440;984;1307;4329;2698;201;100;56;21;11;0;1;4;
Kapelle;G0678;11223;Zeeland;P29;9188;7648;13;5;7630;1405;1037;826;1688;585;324;294;439;862;90;52;13;6;6;0;3;;
Katwijk;G0537;10707;Zuid-Holland;P28;45808;35434;66;7;35361;6262;3225;5761;8799;1983;1137;1066;3762;2733;351;179;34;32;24;3;9;1;
Kerkrade;G0928;10313;Limburg;P31;36270;24266;29;24;24213;2345;4459;8778;2815;3340;601;1005;107;21;424;189;71;26;15;7;3;7;
Koggenland;G1598;10354;Noord-Holland;P27;16448;13217;16;8;13193;3748;1725;1889;2708;1080;768;769;78;13;180;149;47;14;17;3;1;4;0
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;9960;7317;9;6;7302;890;1163;976;2157;778;186;298;626;62;79;37;38;6;2;1;0;;3
Korendijk;G0588;10914;Zuid-Holland;P28;8350;6759;5;2;6752;1433;814;1085;877;492;245;246;302;1116;80;34;17;7;2;1;1;0;
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;22035;17531;32;8;17491;3473;2794;2739;1932;1194;853;773;1155;2227;210;71;32;11;17;6;1;3;
Laarbeek;G1659;10173;Noord-Brabant;P30;16521;12475;16;6;12453;2408;1626;2318;2752;1914;568;507;45;5;107;140;38;9;14;1;1;0;
Landerd;G1685;10276;Noord-Brabant;P30;11380;9021;10;9;9002;1791;1160;1418;2214;1439;409;347;47;1;72;74;15;7;7;0;0;1;
Landgraaf;G0882;11335;Limburg;P31;30368;21524;32;30;21462;2408;3419;7196;2519;3347;704;1000;132;24;339;211;103;27;19;3;8;3;
Landsmeer;G0415;11225;Noord-Holland;P27;7976;6430;10;4;6416;1902;1496;1035;402;425;485;446;37;19;101;42;7;7;7;4;1;0;0
Langedijk;G0416;10955;Noord-Holland;P27;20202;16116;25;15;16076;4367;2536;2156;2343;1395;1188;1203;403;35;215;143;50;21;9;5;2;1;4
Lansingerland;G1621;10139;Zuid-Holland;P28;38227;31173;39;29;31105;10025;3440;4812;4836;1781;2128;1445;1693;286;351;183;54;30;24;8;6;3;
Laren;G0417;10649;Noord-Holland;P27;8470;6994;6;3;6985;3195;841;661;801;331;609;350;46;4;93;30;18;3;2;1;0;;
Leek;G0022;10604;Groningen;P20;14765;11398;20;7;11371;1823;2914;1225;1722;1108;564;724;996;96;102;46;33;7;5;0;1;;5
Leerdam;G0545;10685;Zuid-Holland;P28;15355;11525;20;13;11492;2168;2032;1948;1674;826;611;379;782;850;112;52;23;15;10;2;4;4;
Leeuwarden;G0080;11228;Fryslân;P21;73352;54851;94;65;54692;7556;16764;6420;5266;7048;3400;4737;1991;128;849;179;164;83;67;13;6;;21
Leeuwarderadeel;G0081;10851;Fryslân;P21;8010;6434;7;2;6425;955;1902;617;1138;735;277;394;263;8;84;28;16;3;3;0;1;;1
Leiden;G0546;10702;Zuid-Holland;P28;87972;68924;126;111;68687;12226;16057;9071;4451;5881;9585;7934;1276;200;1354;210;156;133;84;29;23;17;
Leiderdorp;G0547;10058;Zuid-Holland;P28;20025;16177;20;13;16144;4231;3026;2118;1858;1193;1650;1223;334;138;223;67;31;23;22;5;0;2;
Leidschendam-Voorburg;G1916;11103;Zuid-Holland;P28;54984;42746;91;41;42614;11732;7164;6224;5252;2987;4309;2934;673;147;708;234;140;49;35;10;6;10;
Lelystad;G0995;11110;Flevoland;P24;54544;38648;115;36;38497;9099;7986;7426;2807;3912;2003;2379;1436;194;669;308;150;66;31;5;12;;14
Lemsterland;G0082;10142;Fryslân;P21;10215;8000;9;5;7986;1875;1585;1141;1368;836;374;353;255;39;78;34;34;5;5;0;3;;1
Leudal;G1640;10840;Limburg;P31;28359;21395;15;31;21349;4029;2418;5133;4720;2433;992;985;128;8;261;132;65;18;10;6;2;9;
Leusden;G0327;10978;Utrecht;P26;21649;18052;16;10;18026;5073;2789;1802;2658;1229;1528;1325;967;268;200;61;79;19;10;7;6;5;
Liesveld;G0694;11205;Zuid-Holland;P28;7128;5951;3;0;5948;1091;690;700;1221;320;162;148;823;698;42;35;7;2;6;1;1;1;
Lingewaal;G0733;11376;Gelderland;P25;8288;6708;9;2;6697;1454;1081;1142;1210;403;246;247;482;290;77;42;9;2;7;2;0;3;
Lingewaard;G1705;10744;Gelderland;P25;34839;26878;38;26;26814;6031;4676;4272;4676;3040;1744;1663;191;24;260;129;55;11;26;5;0;6;5
Lisse;G0553;10197;Zuid-Holland;P28;16987;13709;13;7;13689;3865;1652;1940;2405;932;942;636;352;630;179;82;42;9;13;1;5;4;
Lith;G0808;11219;Noord-Brabant;P30;5035;4002;11;3;3988;872;483;715;938;555;188;135;20;3;31;31;6;6;5;0;0;0;
Littenseradiel;G0140;10422;Fryslân;P21;8129;6642;4;4;6634;1160;1531;502;1558;712;347;502;183;5;69;15;35;7;4;2;2;;0
