RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP (Socialistische Partij);Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer
Doorn;G0315;10213;Utrecht;P26;7991;7108;13;;7095;2172;1301;2468;504;253;91;80;51;73;10;10;3;24;27;6;7;5;2;;3;1;;;;1;3;
Dordrecht;G0505;11157;Zuid-Holland;P28;78704;64782;213;;64569;15835;27401;10964;4076;1747;684;854;492;900;342;384;164;207;101;111;109;86;25;;41;31;;15;;;;
Drechterland;G0498;10642;Noord-Holland;P27;5946;5338;13;;5325;2686;1024;1057;252;2;77;70;16;25;42;17;5;10;20;7;7;5;;;;3;;;;;;
Driebergen-Rijsenburg;G0316;10777;Utrecht;P26;13258;11883;32;;11851;3908;2547;3123;845;485;223;117;148;142;32;32;8;66;129;19;11;4;1;;5;2;;;4;0;;
Driebruggen;G0506;10830;Zuid-Holland;P28;2881;2695;5;;2690;1416;282;464;103;303;16;13;10;58;2;6;2;4;2;2;2;1;;3;;1;;;;;;
Dronten;G0303;10210;Flevoland;P24;15035;13582;31;;13551;5486;3062;2861;808;126;251;64;342;297;47;37;12;56;15;38;26;6;7;;4;2;;4;;;;
Drunen;G0767;10428;Noord-Brabant;P30;11526;10081;23;;10058;5035;2462;1632;558;14;95;67;12;18;24;27;19;6;26;14;21;14;;;3;3;4;4;;0;;
Druten;G0225;10068;Gelderland;P25;10236;8761;17;;8744;3855;3337;893;384;8;79;68;11;4;14;15;19;4;11;12;13;3;3;;2;5;2;;;2;;
Duiveland;G0662;11237;Zeeland;P29;3773;3447;8;;3439;792;907;578;118;855;8;14;30;95;8;6;2;9;3;10;3;1;;;;;;;;;;
Duiven;G0226;11028;Gelderland;P25;8510;7688;19;;7669;3760;1990;1187;469;4;96;46;20;13;6;8;3;17;10;15;12;9;;;;2;0;;1;1;;
Dussen;G0769;10261;Noord-Brabant;P30;4336;3882;8;;3874;1951;1004;485;174;105;21;22;19;43;7;12;2;9;2;4;5;2;1;;;1;4;;;1;;
Dwingeloo;G0112;10331;Drenthe;P22;2803;2735;16;;2719;638;1114;709;119;6;41;24;14;13;6;;1;9;10;10;3;1;;;1;;;;;;;
Echt;G0902;10941;Limburg;P31;13089;11224;82;;11142;5203;4079;1055;368;1;81;106;9;10;35;34;6;5;14;27;5;;2;36;4;4;52;6;;0;;
Echteld;G0227;10832;Gelderland;P25;4507;4160;13;;4147;1047;1583;719;117;504;22;12;34;84;3;4;4;1;4;2;3;1;;;2;1;0;;;0;;
Edam-Volendam;G0385;10884;Noord-Holland;P27;16865;15122;35;;15087;8758;2658;2508;676;7;142;75;14;21;58;45;2;22;28;39;13;9;;;1;4;;7;;;;
Ede;G0228;10743;Gelderland;P25;63471;56073;121;;55952;22059;10212;11193;2629;6052;765;257;610;1321;90;119;98;228;83;60;36;58;10;;18;13;;;21;4;16;
Eelde;G0113;10622;Drenthe;P22;7971;7371;16;;7355;1356;2695;2295;712;6;80;55;22;22;17;;11;18;12;18;4;29;;;1;2;;;;;;
Eemnes;G0317;10248;Utrecht;P26;4990;4604;19;;4585;1870;925;1190;329;41;51;48;20;45;10;5;4;10;11;15;1;1;4;;;2;;;1;1;1;
Eenrum;G0011;10904;Groningen;P20;1796;1649;5;;1644;202;930;296;82;1;39;14;61;5;2;;3;5;3;;;;;;;;;;1;;;
Eersel;G0770;10741;Noord-Brabant;P30;8533;7559;23;;7536;4315;1355;1118;407;4;122;91;13;13;19;6;7;9;9;12;15;1;;;;;19;1;;0;;
Egmond;G0357;10421;Noord-Holland;P27;8294;7481;21;;7460;2927;2250;1511;392;2;78;80;8;20;59;27;4;12;22;20;15;11;4;;15;;;3;;;;
Eibergen;G0229;10436;Gelderland;P25;11711;10865;22;;10843;5711;3123;1257;416;3;100;75;26;26;23;9;22;23;4;8;9;;2;;3;;2;;;1;;
Eijsden;G0905;10314;Limburg;P31;8160;7108;26;;7082;3484;2006;1073;276;2;60;57;9;6;10;17;2;3;14;9;6;;;22;1;3;20;1;;1;;
Eindhoven;G0772;11298;Noord-Brabant;P30;145660;117103;239;;116864;40953;39432;20146;7969;213;1873;2318;363;464;605;357;762;235;266;134;225;111;50;;34;103;217;22;;12;;
Elburg;G0230;11113;Gelderland;P25;13799;12459;29;;12430;5082;1764;1936;414;1995;68;42;240;739;22;21;3;52;9;9;12;8;;;5;;;;6;0;3;
Elst;G0231;11188;Gelderland;P25;12631;10898;2;;10896;4645;3052;1952;719;50;126;162;21;32;24;10;32;8;15;11;9;3;1;;4;11;3;1;3;2;;
Emmen;G0114;11180;Drenthe;P22;68165;60978;146;;60832;17143;32341;5546;2416;63;557;360;513;740;302;;334;152;68;86;61;67;12;;27;29;;15;;;;
Enkhuizen;G0388;10729;Noord-Holland;P27;11364;9908;17;;9891;3216;3652;1508;652;167;96;155;49;142;108;21;14;28;27;9;24;11;4;;2;3;;3;;;;
Enschede;G0153;10364;Overijssel;P23;105440;89108;37;;89071;22157;40114;13908;5206;228;1072;1024;2127;692;672;125;779;319;89;194;123;58;63;;61;40;;;;20;;
Epe;G0232;10940;Gelderland;P25;24682;22199;63;;22136;7407;7174;4651;1193;689;162;131;119;375;35;30;7;43;30;22;24;16;1;;16;4;;;3;2;2;
Ermelo;G0233;10732;Gelderland;P25;17883;15772;29;;15743;7558;1893;3408;680;688;243;69;488;495;28;38;20;59;21;12;14;5;1;;8;4;;;6;2;3;
Erp;G0775;10385;Noord-Brabant;P30;4228;3943;10;;3933;2812;619;319;101;;12;22;;2;6;10;14;3;2;1;5;;;;;;3;1;;1;;
Esch;G0776;10709;Noord-Brabant;P30;1393;1250;2;;1248;791;262;119;43;;11;5;1;1;1;1;2;4;2;2;;;;;1;;2;;;0;;
Etten-Leur;G0777;10750;Noord-Brabant;P30;22320;18656;50;;18606;7499;6173;2990;1287;13;208;155;17;36;51;43;25;19;19;19;17;13;1;;2;4;4;3;6;2;;
Ezinge;G0012;10136;Groningen;P20;1339;1256;3;;1253;345;520;208;72;2;28;20;20;6;12;;2;4;7;;7;;;;;;;;;;;
Ferwerderadeel;G0068;11284;Fryslân;P21;6385;5802;16;;5786;3002;1408;672;209;17;42;30;257;63;7;7;10;34;1;8;6;1;2;;7;1;;2;;;;
Fijnaart en Heijningen;G0778;10206;Noord-Brabant;P30;4582;4038;22;;4016;1646;1440;554;192;30;28;24;6;35;6;11;5;11;6;8;2;1;1;;2;4;1;1;1;1;;
Finsterwolde;G0013;10212;Groningen;P20;2053;1887;14;;1873;91;1129;150;27;;2;11;6;10;418;;2;1;;4;2;;18;;;1;;1;;;;
Franekeradeel;G0070;10404;Fryslân;P21;14972;13234;34;;13200;5181;4720;1796;666;24;130;102;148;200;32;13;16;76;12;20;20;4;2;;8;2;;28;;;;
Gaasterlân-Sleat;G0653;10036;Fryslân;P21;5978;5990;22;;5968;3283;1194;758;259;142;67;23;34;135;6;1;10;23;8;5;10;2;1;;6;;;1;;;;
Gasselte;G0115;11099;Drenthe;P22;3118;2884;6;;2878;477;1626;524;132;7;17;25;15;9;24;;3;3;4;4;2;4;1;;;;;1;;;;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;4807;4070;8;;4062;1519;1597;517;287;6;36;26;;9;5;10;8;5;11;8;9;3;;;1;1;1;1;1;1;;
Geffen;G0780;10370;Noord-Brabant;P30;3394;2977;17;;2960;1706;751;261;94;;22;18;1;6;2;13;62;1;2;8;5;3;;;2;2;1;;;0;;
Geldermalsen;G0236;10881;Gelderland;P25;15474;13992;50;;13942;4737;4273;2834;597;995;105;75;53;84;29;38;8;25;14;35;15;10;1;;1;1;2;2;3;5;;
Geldrop;G0781;10529;Noord-Brabant;P30;19045;16234;30;;16204;7172;4410;2621;1187;9;291;110;24;63;38;44;57;33;39;28;19;16;5;;1;10;18;9;;0;;
Geleen;G0906;10048;Limburg;P31;26331;21612;79;;21533;8866;8508;2128;860;8;145;315;31;32;55;93;51;22;32;15;34;;3;276;1;1;49;2;;6;;
Gemert;G0782;10277;Noord-Brabant;P30;12330;10566;36;;10530;5328;3299;1064;448;5;102;110;15;5;35;22;47;6;6;17;11;2;;;1;1;1;5;;0;;
Gendringen;G0237;10260;Gelderland;P25;14329;12689;46;;12643;6972;3656;1127;531;14;81;83;15;45;20;22;16;6;10;8;15;6;;;2;1;2;3;2;6;;
Gendt;G0238;10440;Gelderland;P25;5029;4438;20;;4418;2307;1391;411;221;3;27;22;1;2;4;5;5;1;5;4;4;1;;;;2;1;;;1;;
Genemuiden;G0154;10746;Overijssel;P23;4688;4126;10;;4116;1317;722;307;83;1155;4;6;46;453;2;4;3;3;2;2;1;1;;;1;3;;;;1;;
Gennep;G0907;10542;Limburg;P31;11661;9378;35;;9343;4490;2701;1033;745;2;107;119;14;9;21;17;23;7;10;6;9;;;7;2;3;15;3;;0;;
Giessenlanden;G0689;10255;Zuid-Holland;P28;9899;9201;27;;9174;2983;2563;2011;437;481;58;28;84;401;13;10;4;41;17;12;13;3;2;;6;1;;6;;;;
Gieten;G0116;10506;Drenthe;P22;4303;3918;17;;3901;586;1941;1013;229;1;36;29;17;12;6;;5;7;2;6;6;2;;;1;1;;1;;;;
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;15499;13807;49;;13758;6406;3934;2025;926;9;88;91;11;23;25;42;49;22;19;24;26;11;2;;;2;5;2;12;4;;
Goedereede;G0511;10981;Zuid-Holland;P28;7564;6960;23;;6937;1988;1404;970;169;2013;42;23;49;201;8;11;6;20;6;12;3;1;;;9;;;2;;;;
Goes;G0664;10674;Zeeland;P29;23589;20218;60;;20158;6601;6125;3484;1211;1432;324;154;232;238;48;30;24;91;28;37;46;19;1;;14;12;;7;;;;
Goirle;G0785;10971;Noord-Brabant;P30;12767;11051;23;;11028;4684;3358;1775;721;4;109;171;17;12;30;11;23;16;21;31;21;9;2;;2;3;3;1;1;3;;
Goor;G0156;10076;Overijssel;P23;8751;8033;22;;8011;2595;3281;1356;507;5;53;41;43;29;19;16;10;24;7;8;7;3;3;;;3;;;;1;;
Gorinchem;G0512;10942;Zuid-Holland;P28;20113;17069;68;;17001;4152;7654;2780;1023;400;167;127;107;210;57;80;27;62;45;30;23;28;1;;17;7;;4;;;;
Gorssel;G0239;10085;Gelderland;P25;10870;9918;17;;9901;3555;2493;2774;697;14;127;49;40;24;18;16;5;24;22;15;10;5;;;4;5;;;3;0;1;
Gouda;G0513;10302;Zuid-Holland;P28;43315;37613;91;;37522;10304;13617;6806;2807;1293;545;413;348;371;194;242;67;94;92;79;47;100;10;50;17;26;;;;;;
Graafstroom;G0693;10451;Zuid-Holland;P28;6174;5718;28;;5690;2379;845;787;180;1107;36;19;69;203;16;9;2;11;1;4;6;1;;;12;1;;2;;;;
Graft-De Rijp;G0365;11417;Noord-Holland;P27;3893;3589;4;;3585;1180;985;954;248;9;25;104;2;1;33;11;;2;10;7;6;4;2;;;1;;1;;;;
Gramsbergen;G0157;11339;Overijssel;P23;4250;3994;11;;3983;1945;1325;366;105;3;22;8;134;44;2;1;3;14;3;2;6;;;;;;;;;0;;
Grathem;G0909;11008;Limburg;P31;2089;1826;8;;1818;1159;313;221;77;1;6;17;2;;1;4;2;;4;5;1;;;2;1;;2;;;0;;
Grave;G0786;10165;Noord-Brabant;P30;7420;6422;13;;6409;2822;1738;1101;412;4;156;53;9;9;7;11;57;1;8;5;7;4;;;;;1;2;;2;;
Grijpskerk;G0016;10244;Groningen;P20;3015;2823;6;;2817;1435;593;339;118;3;39;17;184;41;6;2;1;21;3;4;2;;;;8;;;;1;;;
Groenlo;G0240;11094;Gelderland;P25;6421;5771;8;;5763;3077;1457;761;257;6;44;71;9;8;10;6;23;12;2;1;10;3;;;2;2;1;;1;0;;
Groesbeek;G0241;10616;Gelderland;P25;13842;12191;59;;12132;4889;5084;1153;522;11;186;108;11;9;17;18;39;8;19;14;6;6;1;;2;6;11;8;2;2;;
Groningen;G0014;10426;Groningen;P20;135965;115444;335;;115109;18545;55189;16115;8601;137;3362;3509;4566;607;1788;206;1208;451;214;103;163;99;119;;35;52;;12;28;;;
Grootegast;G0015;11080;Groningen;P20;6289;5626;19;;5607;2835;1427;556;141;13;40;28;327;173;17;3;5;15;2;9;7;2;;;4;;;;3;;;
Grubbenvorst;G0912;10176;Limburg;P31;4772;4204;16;;4188;2395;842;688;174;2;20;26;3;;4;6;7;1;3;4;5;;;1;;;5;;;2;;
Gulpen;G0913;11032;Limburg;P31;5335;4794;28;;4766;2305;1597;518;173;1;40;30;3;12;12;7;;4;11;3;5;;1;28;1;;13;2;;0;;
Haaksbergen;G0158;11435;Overijssel;P23;15973;14492;41;;14451;7791;3418;2058;709;8;140;95;33;29;31;27;28;21;9;15;20;7;2;;3;4;;;;3;;
Haaren;G0788;11155;Noord-Brabant;P30;3581;3157;9;;3148;1993;527;384;129;;39;32;3;3;6;2;1;3;17;4;2;;;;;;3;;;0;;
Haarlem;G0392;10357;Noord-Holland;P27;116588;97216;283;;96933;27374;35283;18834;7540;270;1782;1773;421;573;956;396;257;252;449;249;183;145;70;;32;48;;46;;;;
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;3604;3249;4;;3245;1413;699;721;217;17;44;28;9;15;24;12;3;6;11;6;7;5;;;2;;;6;;;;
Haarlemmermeer;G0394;11387;Noord-Holland;P27;63428;55094;147;;54947;19254;12121;15862;4114;578;665;449;342;435;300;173;56;122;127;136;59;55;42;;28;18;;11;;;;
Haelen;G0914;10321;Limburg;P31;4373;3757;8;;3749;2226;755;447;187;3;37;25;9;8;1;10;2;2;11;2;6;;;8;;;9;1;;0;;
Halsteren;G0789;10387;Noord-Brabant;P30;9280;7885;27;;7858;2894;2659;1566;459;26;48;51;14;9;13;26;13;5;12;19;24;10;3;;1;4;0;1;1;0;;
Haps;G0790;11283;Noord-Brabant;P30;2021;1880;12;;1868;1206;388;167;63;;15;12;;;2;4;1;4;2;2;2;;;;;;0;;;0;;
Hardenberg;G0160;10174;Overijssel;P23;22087;20432;66;;20366;9972;4848;1659;537;37;135;59;2741;228;13;10;20;40;13;16;16;4;;;12;4;;;;2;;
Harderwijk;G0243;10786;Gelderland;P25;23225;20556;50;;20506;9369;3391;3926;1027;930;302;119;471;676;37;39;33;81;20;17;20;18;1;;10;5;;;6;3;5;
Hardinxveld-Giessendam;G0523;10167;Zuid-Holland;P28;11557;10402;36;;10366;2901;2726;1255;363;1976;32;31;481;467;12;19;12;38;5;22;8;5;2;;6;;;5;;;;
Haren;G0017;11058;Groningen;P20;14434;13355;27;;13328;3530;3670;4037;1070;33;188;101;472;72;30;15;11;35;20;22;8;5;1;;2;2;;1;3;;;
Harenkarspel;G0395;10963;Noord-Holland;P27;4247;3833;5;;3828;2094;753;613;192;2;34;43;17;9;11;5;3;10;8;19;2;6;1;;;;;6;;;;
Harlingen;G0072;10909;Fryslân;P21;11756;10265;27;;10238;2721;4662;1435;665;19;96;68;290;96;41;23;14;29;8;16;20;8;3;;13;3;;8;;;;
Harmelen;G0318;10183;Utrecht;P26;5354;4794;9;;4785;2123;674;1358;279;105;63;48;15;43;9;11;5;24;5;7;9;1;;;1;;;;3;0;2;
Hasselt;G0161;10115;Overijssel;P23;4361;4048;13;;4035;1633;841;415;156;209;11;25;401;295;2;1;7;19;8;1;4;2;1;;3;1;;;;0;;
Hattem;G0244;10673;Gelderland;P25;8444;7875;21;;7854;2685;2439;1066;390;58;79;26;773;246;19;9;4;40;6;2;3;3;1;;3;;;;2;0;0;
Havelte;G0117;10186;Drenthe;P22;4407;4074;8;;4066;623;1851;1233;201;1;43;23;15;22;5;;1;12;15;12;4;2;;;2;1;;;;;;
Hazerswoude;G0524;11257;Zuid-Holland;P28;7957;7126;9;;7117;3364;1202;1460;451;197;104;58;32;164;17;15;4;18;9;6;6;1;;3;5;1;;;;;;
Hedel;G0245;10982;Gelderland;P25;2652;2414;8;;2406;1089;568;344;115;211;13;11;18;16;5;4;;1;4;;;1;;;1;1;0;2;1;1;;
Heel en Panheel;G0915;11208;Limburg;P31;3203;2346;6;;2340;1294;542;294;113;;34;18;2;;8;10;1;1;5;8;2;;;5;2;;0;1;;0;;
Heemskerk;G0396;10679;Noord-Holland;P27;23368;19956;47;;19909;7776;6196;3166;1445;32;340;317;78;73;154;55;37;45;54;53;42;15;3;;8;10;;10;;;;
Heemstede;G0397;11288;Noord-Holland;P27;20507;18441;30;;18411;6078;3151;7012;1134;45;384;197;78;80;51;51;5;27;42;34;12;12;3;;3;5;;7;;;;
Heerde;G0246;10291;Gelderland;P25;13144;12109;22;;12087;4669;3803;1502;462;371;70;42;271;779;15;13;6;28;11;10;10;8;;;9;2;;;1;3;2;
Heerenveen;G0074;10680;Fryslân;P21;27717;24712;70;;24642;5608;12270;3677;1462;42;280;189;250;188;336;40;53;81;29;31;22;11;47;;8;9;;9;;;;
Heerewaarden;G0247;10067;Gelderland;P25;874;832;0;;832;139;434;206;23;5;10;4;;2;;2;1;;4;;;1;;;;;0;1;;0;;
Heerhugowaard;G0398;10752;Noord-Holland;P27;22814;19722;37;;19685;7668;5321;3913;1656;17;222;249;72;127;137;31;36;35;64;48;55;11;8;;3;7;;5;;;;
Heerjansdam;G0526;10540;Zuid-Holland;P28;2565;2326;5;;2321;853;700;460;137;67;17;7;11;35;5;5;1;1;5;9;3;2;;;;2;;1;;;;
Heerlen;G0917;10902;Limburg;P31;71705;56920;210;;56710;20848;24184;5451;2463;46;578;437;99;117;381;266;788;81;339;82;59;;39;192;11;24;197;15;;13;;
Heesch;G0791;10149;Noord-Brabant;P30;7468;6468;16;;6452;3334;1746;708;315;;44;31;;4;8;10;209;3;8;11;8;2;1;;;7;1;1;;1;;
Heeswijk-Dinther;G0792;10690;Noord-Brabant;P30;5691;5202;13;;5189;3361;948;482;182;1;114;39;1;2;12;3;7;4;2;8;14;1;1;;;1;2;4;;0;;
Heeze;G0793;10462;Noord-Brabant;P30;6479;5831;12;;5819;3077;1239;1016;306;3;66;30;6;6;13;11;8;7;7;12;6;1;2;;;1;0;1;;1;;
Hefshuizen;G0019;10246;Groningen;P20;7911;7263;24;;7239;2734;2583;744;185;12;54;29;759;46;30;2;8;26;3;4;5;2;;;12;;;1;;;;
Heiloo;G0399;10793;Noord-Holland;P27;15622;14372;36;;14336;5032;3014;4495;1014;16;233;158;45;77;69;26;8;29;57;17;23;9;7;;;3;;4;;;;
Heino;G0162;10854;Overijssel;P23;4891;4564;10;;4554;2624;906;570;183;7;42;16;107;58;6;2;4;13;8;1;6;1;;;;;;;;0;;
Helden;G0918;10205;Limburg;P31;12273;10225;30;;10195;6516;1939;971;452;1;71;101;5;6;17;18;13;6;14;10;32;;3;7;;7;3;2;;1;;
Hellendoorn;G0163;10806;Overijssel;P23;24246;22317;40;;22277;13536;4509;1911;716;133;281;57;383;542;17;20;12;79;19;22;20;5;;;14;1;;;;0;;
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;21251;17946;53;;17893;3523;7503;3914;1725;122;192;230;84;97;94;109;44;45;36;96;30;21;8;;2;6;;12;;;;
Helmond;G0794;10932;Noord-Brabant;P30;45210;36402;81;;36321;12640;14739;5161;1910;33;311;516;42;46;158;105;236;28;47;46;60;35;142;;3;19;32;8;;4;;
