RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP (Socialistische Partij);Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer
Mariekerke;G0686;11221;Zeeland;P29;2314;2197;5;;2192;840;166;229;67;765;13;6;36;47;;2;;11;7;;2;;;;;;;1;;;;
Markelo;G0169;11382;Overijssel;P23;5241;4959;16;;4943;1482;1571;1527;201;19;25;32;10;32;8;11;3;4;3;5;5;1;1;;2;1;;;;0;;
Marken;G0419;10901;Noord-Holland;P27;1586;1497;2;;1495;849;361;165;64;6;9;8;6;10;2;4;;7;4;;;;;;;;;;;;;
Marum;G0025;11431;Groningen;P20;6234;5588;21;;5567;1701;2271;966;218;19;48;32;150;82;24;12;5;15;6;3;3;4;4;;2;1;;;1;;;
Maurik;G0264;10300;Gelderland;P25;4230;3839;10;;3829;1133;1711;699;108;58;28;12;18;11;3;5;;13;4;10;5;4;;;;3;0;1;2;1;;
Medemblik;G0420;11215;Noord-Holland;P27;4732;4097;13;;4084;1628;1295;670;245;13;38;34;18;47;43;12;4;5;5;10;6;1;4;;2;2;;2;;;;
Meeden;G0026;10304;Groningen;P20;1347;1260;9;;1251;257;702;146;53;;18;7;27;20;10;;3;3;3;;1;;;;1;;;;;;;
Meerlo-Wanssum;G0993;11416;Limburg;P31;4983;4407;16;;4391;2791;819;470;177;1;66;28;5;1;6;1;8;1;5;1;5;;;0;;1;2;1;;2;;
Meerssen;G0938;10494;Limburg;P31;15622;13572;58;;13514;6366;3955;1990;659;1;134;85;28;18;54;41;8;12;37;17;15;;1;57;2;1;30;1;;2;;
Megen, Haren en Macharen;G0813;10988;Noord-Brabant;P30;2113;1922;5;;1917;1183;415;159;72;;21;14;;;3;2;42;2;3;;1;;;;;;0;;;0;;
Meijel;G0941;10925;Limburg;P31;3879;3297;16;;3281;2186;592;310;119;;21;13;4;5;2;5;3;1;4;5;1;;;4;;1;4;1;;0;;
Melick en Herkenbosch;G0939;10196;Limburg;P31;5463;4761;8;;4753;2335;1251;783;249;1;41;19;1;7;7;5;;2;14;4;5;;1;22;;;4;2;;0;;
Menaldumadeel;G0083;11144;Fryslân;P21;9460;8745;18;;8727;3089;3272;1409;522;17;91;76;60;73;15;6;8;55;9;12;1;2;;;6;2;;2;;;;
Meppel;G0119;11204;Drenthe;P22;17001;14973;36;;14937;4024;6363;2599;835;29;159;116;384;179;35;;37;48;43;20;20;25;9;;6;2;;4;;;;
Middelburg;G0687;10122;Zeeland;P29;28386;24262;67;;24195;7048;7729;3774;1821;1536;522;276;383;504;95;68;51;123;44;49;80;34;13;;30;11;;4;;;;
Middelharnis;G0559;11067;Zuid-Holland;P28;11334;9609;9;;9600;2326;2934;1424;399;1765;49;73;101;282;135;16;17;27;11;12;9;7;1;;7;4;;1;;;;
Middelstum;G0027;11199;Groningen;P20;2052;1908;3;;1905;831;580;169;65;2;24;15;132;64;4;;;12;2;1;3;;;;1;;;;;;;
Middenschouwen;G0688;10837;Zeeland;P29;1867;1692;5;;1687;591;395;391;57;145;7;2;33;50;;3;;4;3;;1;3;;;1;;;1;;;;
Midwolda;G0028;10356;Groningen;P20;3018;2790;9;;2781;907;1307;165;97;6;26;20;29;121;55;1;4;19;1;8;6;3;3;;1;1;;1;;;;
Mierlo;G0814;10215;Noord-Brabant;P30;6891;6302;15;;6287;3090;1467;1088;435;1;52;46;2;4;11;8;39;3;12;11;8;3;;;1;;1;3;;2;;
Mijdrecht;G0336;11379;Utrecht;P26;10977;9834;22;;9812;4499;1453;2653;559;107;161;68;82;115;12;24;4;24;9;18;11;8;;;;;;;3;2;0;
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;7526;6896;23;;6873;4113;1724;655;204;3;55;50;1;1;10;9;13;5;11;7;1;1;;;;2;3;5;;0;;
Millingen aan de Rijn;G0265;10072;Gelderland;P25;3828;3339;10;;3329;1285;1566;237;149;2;20;22;1;5;7;9;9;2;1;3;4;;;;;2;2;1;1;1;;
Moergestel;G0816;11191;Noord-Brabant;P30;4125;3774;12;;3762;2107;764;635;144;;26;31;1;1;6;3;6;2;10;18;3;1;;;;1;0;;2;1;;
Moerkapelle;G0560;11383;Zuid-Holland;P28;2058;1921;4;;1917;562;326;310;79;491;12;6;10;103;3;2;4;2;1;2;;2;;2;;;;;;;;
Monnickendam;G0423;10983;Noord-Holland;P27;7037;6259;10;;6249;1938;1906;1447;585;6;108;73;19;18;44;29;2;21;11;12;6;7;3;;3;1;;10;;;;
Monster;G0562;10019;Zuid-Holland;P28;14060;12208;36;;12172;6327;1911;2332;507;485;76;60;146;129;12;57;7;27;11;33;17;24;2;;7;1;;1;;;;
Montfoort;G0335;10033;Utrecht;P26;4694;4253;12;;4241;2069;720;835;252;154;68;28;11;32;14;10;8;19;3;4;5;6;;;3;;;;;0;0;
Montfort;G0943;10266;Limburg;P31;2229;1888;19;;1869;996;544;224;47;2;12;12;2;;;7;;;5;2;4;;1;3;;;7;;;1;;
Mook en Middelaar;G0944;10271;Limburg;P31;4845;4387;10;;4377;1870;1095;902;297;1;74;56;4;1;5;8;15;8;13;6;6;;1;12;1;;2;;;0;;
Moordrecht;G0563;10120;Zuid-Holland;P28;4717;4036;15;;4021;1189;1315;740;323;223;51;37;24;54;7;13;1;10;5;6;2;7;2;4;6;2;;;;;;
Muiden;G0424;10958;Noord-Holland;P27;5076;4607;10;;4597;1375;1275;1220;472;26;48;51;20;15;27;21;2;20;9;4;5;3;1;;;2;;1;;;;
Muntendam;G0029;10550;Groningen;P20;3635;3268;10;;3258;356;2285;250;122;;25;21;22;43;90;5;14;10;2;3;4;;5;;;;;1;;;;
Naaldwijk;G0565;11418;Zuid-Holland;P28;18951;17026;29;;16997;9660;2340;3557;704;157;98;86;81;124;25;36;8;32;28;24;11;12;;;6;3;;5;;;;
