RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);SP (Socialistische Partij);VVD;PVV (Partij voor de Vrijheid);GL;ChristenUnie;Democraten 66 (D66);Partij voor de Dieren;Staatkundig Gereformeerde Partij (SGP);ETnNL;Fortuyn;Verenigde Senioren Partij;Ad Bos Collectief;Partij voor Nederland;Lijst Potmis;Nederland Transparant;Groen Vrij Internet Partij;Liberaal Democratische Partij;Lijst Poortman;Continue Directe Democratie Partij;LRVP - het Zeteltje;Solide Multiculturele Partij;Tamara's Open Partij
Oirschot;G0823;10225;Noord-Brabant;P30;13512;11088;;33;11055;5097;1554;1726;1420;600;251;77;82;129;5;55;26;24;;5;;0;;1;0;3;;;
Oisterwijk;G0824;10103;Noord-Brabant;P30;19314;15884;;15;15869;5883;2576;2642;2812;705;506;198;212;188;7;64;30;12;7;;4;8;10;4;0;1;;;
Oldebroek;G0269;11106;Gelderland;P25;17146;14527;;17;14510;4631;2072;1107;988;559;166;3165;69;90;1599;30;19;3;1;5;1;1;3;1;0;;;;
Oldenzaal;G0173;11100;Overijssel;P23;23764;19892;;20;19872;7637;3880;3366;2513;812;695;271;345;189;11;57;33;16;12;4;;6;18;4;;3;;;
Olst-Wijhe;G1773;10409;Overijssel;P23;13017;11141;;17;11124;3830;2790;1684;1399;319;420;286;134;141;28;45;21;10;4;7;;1;3;2;;0;;;
Ommen;G0175;11069;Overijssel;P23;13359;11465;;9;11456;5126;1405;1225;1338;295;225;1443;109;133;98;28;12;5;3;6;;4;1;0;;0;;;
Onderbanken;G0881;10492;Limburg;P31;6476;5195;;7;5188;1348;1082;1214;452;703;154;54;32;96;6;22;11;8;3;3;;0;;;0;;;;
Oosterhout;G0826;11280;Noord-Brabant;P30;40249;31825;;33;31792;8506;6575;6375;5296;2317;932;443;574;430;24;169;70;38;13;;2;7;10;1;7;3;;;
Oostflakkee;G0580;10714;Zuid-Holland;P28;7936;6531;;3;6528;1736;1349;851;775;523;115;476;27;133;460;58;16;6;0;2;0;0;;1;0;0;;;
Ooststellingwerf;G0085;10836;Fryslân;P21;20184;16774;;33;16741;3999;5230;2927;1954;610;642;768;141;288;62;47;38;14;4;8;;1;6;;2;;;;
Oostzaan;G0431;11303;Noord-Holland;P27;6966;5830;;11;5819;1006;1179;918;1402;513;297;144;89;156;16;56;16;18;3;2;;1;1;0;2;0;;;
Opmeer;G0432;10609;Noord-Holland;P27;8323;6903;;4;6899;2822;992;975;1216;333;227;87;75;89;5;34;20;12;2;2;;2;5;0;1;0;;;
Opsterland;G0086;10005;Fryslân;P21;22274;18822;;24;18798;4352;5745;3175;2151;451;705;1528;247;217;119;38;21;11;12;6;;2;16;;2;;;;
Oss;G0828;10834;Noord-Brabant;P30;57660;45777;;69;45708;12514;7117;14261;5877;2595;1300;434;745;501;24;176;76;48;;21;;3;;6;3;7;;;
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;18059;15187;;17;15170;3940;2398;1951;2454;1076;487;1025;202;241;1106;205;42;10;9;7;3;8;;0;6;0;;;
