RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);VVD;Anti-Revolutionaire Partij;Politieke Partij Radikalen (PPR);Christelijk-Historische Unie;Communistische Partij van Nederland;Democraten 66 (D66);Democratisch Socialisten '70;Staatkundig Gereformeerde Partij (SGP);Boeren Partij;Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Rooms Katholieke Partij Nederland (RKPN);Democratische Middenpartij;Nederlandse Middenstands Partij;Lijst ir. W. Stam;Partij van het Recht;Anti-Woningnood Aktie;Nieuwe Roomse Partij
Maasdam;G0554;11019;Zuid-Holland;P28;2006;1762;0;17;1745;575;27;374;225;44;138;13;64;48;171;19;24;5;1;12;5;;;;
Maasdriel;G0263;10341;Gelderland;P25;4554;3717;20;5;3692;437;2169;310;119;91;105;44;58;43;20;167;1;15;62;14;37;;;;
Maasland;G0555;10393;Zuid-Holland;P28;3144;2868;13;1;2854;228;324;542;778;92;496;14;73;82;50;26;90;18;18;17;6;;;;
Maassluis;G0556;10880;Zuid-Holland;P28;17754;15060;14;79;14967;4585;895;2374;2214;894;993;319;967;686;269;75;404;171;41;54;26;;;;
Maastricht;G0935;10182;Limburg;P31;75994;53755;313;326;53116;15739;16514;8040;1065;2629;167;1803;2115;1455;28;878;97;748;1169;218;451;;;;
Made en Drimmelen;G0812;10258;Noord-Brabant;P30;6720;5567;42;13;5512;1245;2348;548;198;181;104;76;164;85;9;351;8;40;95;24;36;;;;
Margraten;G0936;11243;Limburg;P31;1845;1484;8;10;1466;202;751;204;24;54;2;8;43;33;1;35;2;8;72;14;13;;;;
Mariekerke;G0686;11221;Zeeland;P29;1741;1615;4;1;1610;80;6;102;397;28;231;2;18;28;621;18;67;4;2;2;4;;;;
Markelo;G0169;11382;Overijssel;P23;4664;4055;5;11;4039;1191;115;947;494;70;471;28;128;176;17;272;25;28;11;52;14;;;;
Marken;G0419;10901;Noord-Holland;P27;1281;1073;0;7;1066;195;6;58;266;30;332;15;35;24;7;22;45;15;;4;10;2;;;
Marum;G0025;11431;Groningen;P20;5088;4402;5;13;4384;1411;29;537;1168;66;112;128;107;114;27;424;123;84;7;25;22;;;;
Maurik;G0264;10300;Gelderland;P25;3700;3170;4;8;3158;1513;177;406;324;46;288;27;70;67;70;75;30;14;7;15;29;;;;
Medemblik;G0420;11215;Noord-Holland;P27;3733;3185;37;4;3144;807;858;315;229;127;121;266;75;124;9;42;39;49;46;16;13;8;;;
Meeden;G0026;10304;Groningen;P20;1148;1031;1;9;1021;506;8;55;239;15;17;90;17;15;6;4;27;4;;16;2;;;;
Meerkerk;G0557;10618;Zuid-Holland;P28;1779;1587;6;15;1566;381;15;319;336;49;151;16;50;30;133;41;20;12;;5;8;;;;
Meerlo-Wanssum;G0993;11416;Limburg;P31;3720;3076;26;5;3045;343;1874;340;61;121;6;15;69;44;;71;;33;49;7;12;;;;
Meerssen;G0938;10494;Limburg;P31;5732;4420;31;32;4357;868;1932;576;112;187;19;106;150;91;3;93;8;36;99;37;40;;;;
Megen, Haren en Macharen;G0813;10988;Noord-Brabant;P30;1707;1405;10;5;1390;201;794;106;40;71;3;17;27;16;;54;2;18;24;5;12;;;;
Meijel;G0941;10925;Limburg;P31;2808;2246;7;17;2222;279;1370;207;55;73;1;16;33;22;;107;3;17;28;2;9;;;;
Melick en Herkenbosch;G0939;10196;Limburg;P31;3614;2952;11;19;2922;430;1287;627;57;88;10;44;67;99;;79;4;35;67;6;22;;;;
Menaldumadeel;G0083;11144;Fryslân;P21;7235;6516;34;15;6467;2381;244;741;1378;130;638;81;148;227;16;88;183;80;25;71;36;;;;
Meppel;G0119;11204;Drenthe;P22;13728;12109;43;17;12049;4787;272;1787;1578;426;1250;188;389;471;43;228;372;87;16;106;49;;;;
Merkelbeek;G0940;10763;Limburg;P31;1159;921;4;16;901;160;453;65;23;50;1;27;33;15;;21;;8;37;2;6;;;;
