RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);VVD;Anti-Revolutionaire Partij;Politieke Partij Radikalen (PPR);Christelijk-Historische Unie;Communistische Partij van Nederland;Democraten 66 (D66);Democratisch Socialisten '70;Staatkundig Gereformeerde Partij (SGP);Boeren Partij;Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Rooms Katholieke Partij Nederland (RKPN);Democratische Middenpartij;Nederlandse Middenstands Partij;Lijst ir. W. Stam;Partij van het Recht;Anti-Woningnood Aktie;Nieuwe Roomse Partij
Aalsmeer;G0358;11264;Noord-Holland;P27;12962;11407;25;41;11341;2365;1470;2346;1612;437;822;268;562;684;105;118;232;184;47;49;36;4;;;
Aalten;G0197;11046;Gelderland;P25;10998;9618;22;22;9574;1576;1159;781;3427;213;1515;49;169;190;33;149;173;63;21;39;17;;;;
Aardenburg;G0648;11020;Zeeland;P29;2462;2001;8;8;1985;373;758;399;83;82;24;19;29;28;9;91;17;12;31;12;18;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;2743;2244;6;6;2232;392;1092;239;63;83;12;45;81;47;2;87;6;27;34;4;18;;;;
Abbekerk;G0359;10439;Noord-Holland;P27;1034;878;7;0;871;207;236;120;38;33;18;47;44;49;;17;5;20;14;6;15;2;;;
Abbenbroek;G0481;11026;Zuid-Holland;P28;793;690;6;0;684;249;13;178;59;30;28;15;39;29;3;17;3;13;4;;4;;;;
Abcoude;G0305;10712;Utrecht;P26;4391;3965;29;5;3931;558;621;944;434;197;344;95;149;281;73;52;58;47;22;27;29;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;14610;12836;71;30;12735;3718;51;643;4678;227;1419;361;155;175;266;168;743;58;5;26;42;;;;
Adorp;G0001;10996;Groningen;P20;1058;989;0;5;984;220;13;121;364;37;16;14;24;33;1;31;97;4;;6;3;;;;
Aduard;G0002;10999;Groningen;P20;1747;1632;6;2;1624;459;23;223;456;48;63;30;38;57;3;28;152;28;;9;7;;;;
Akersloot;G0360;10346;Noord-Holland;P27;2815;2523;9;4;2510;503;884;386;107;128;19;79;111;94;2;42;16;60;50;14;9;6;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;11880;10235;45;38;10152;4001;257;1005;895;348;1018;274;531;221;1064;127;255;97;7;21;31;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;6830;5924;25;20;5879;556;2870;799;363;234;141;84;153;193;11;132;21;99;137;51;31;;4;;
Alkmaar;G0361;10527;Noord-Holland;P27;40253;33949;170;79;33700;9455;6274;4972;1736;2275;711;2385;1632;1844;49;349;327;848;537;104;131;71;;;
Almelo;G0141;11053;Overijssel;P23;39140;33674;129;46;33499;10913;6046;3686;2617;1499;1453;2492;1100;1143;213;748;583;311;223;359;113;;;;
Almkerk;G0740;10788;Noord-Brabant;P30;3431;3063;5;2;3056;438;22;137;1509;32;519;16;27;25;89;40;188;5;2;1;6;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;23811;20408;56;61;20291;4030;2414;3494;3233;970;2255;392;876;895;629;220;470;168;112;65;63;;5;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;2896;2491;12;4;2475;300;1484;270;49;94;8;19;41;40;;97;4;11;26;14;18;;;;
Ambt Delden;G0142;11400;Overijssel;P23;3358;3061;4;10;3047;235;1823;275;108;66;181;11;53;66;1;149;6;12;39;8;14;;;;
Ameide;G0485;11349;Zuid-Holland;P28;1450;1333;10;1;1322;416;9;110;388;19;112;6;32;37;128;32;26;4;;3;;;;;
Ameland;G0060;11153;Fryslân;P21;1984;1643;9;6;1628;383;428;207;189;17;154;30;31;61;3;36;28;18;16;18;9;;;;
Amerongen;G0306;11372;Utrecht;P26;3929;3494;18;27;3449;934;76;556;406;86;584;21;79;148;334;78;70;31;6;25;15;;;;
Amersfoort;G0307;10948;Utrecht;P26;54347;46122;251;130;45741;11695;5713;8330;4047;2439;2461;1711;2002;2697;812;514;1974;733;290;194;129;;;;
Ammerstol;G0486;10863;Zuid-Holland;P28;960;871;4;0;867;501;9;87;28;18;13;92;47;25;15;6;1;18;;5;1;;1;;
Ammerzoden;G0198;10151;Gelderland;P25;2366;2075;8;5;2062;345;921;172;136;63;142;21;34;27;49;32;6;13;78;6;17;;;;
Amstelveen;G0362;10799;Noord-Holland;P27;49954;43962;175;51;43736;8327;4555;11561;3802;3776;1290;1220;2967;3442;159;312;476;1232;308;192;104;13;;;
Amstenrade;G0884;10062;Limburg;P31;2294;1949;18;13;1918;436;766;214;65;112;9;47;107;36;3;17;6;20;44;15;21;;;;
Amsterdam;G0363;11150;Noord-Holland;P27;590386;480354;1440;832;478082;158595;34015;59779;21602;28565;8002;82095;27025;26350;968;4829;3704;14687;3429;2881;1556;;;;
Andel;G0742;10871;Noord-Brabant;P30;1189;1087;2;1;1084;64;2;39;680;7;121;4;12;12;115;7;16;2;;;3;;;;
Andijk;G0364;10822;Noord-Holland;P27;3136;2744;13;4;2727;522;369;214;843;93;44;178;90;58;42;79;92;59;22;7;12;3;;;
Angerlo;G0199;11131;Gelderland;P25;2566;2187;8;4;2175;543;745;145;109;126;201;40;72;50;3;75;7;19;19;14;7;;;;
Anloo;G0105;10787;Drenthe;P22;4205;3627;20;6;3601;1741;31;848;141;64;36;113;123;155;4;122;34;43;8;98;40;;;;
Anna Paulowna;G0366;10344;Noord-Holland;P27;5133;4435;29;15;4391;1120;1080;1029;306;107;113;93;130;132;18;61;60;44;42;15;31;10;;;
Apeldoorn;G0200;11075;Gelderland;P25;86673;72891;551;0;72340;20028;6705;11896;7803;3303;7159;1497;2857;3665;1899;2012;1385;804;292;760;275;;;;
Appeltern;G0201;11296;Gelderland;P25;2582;2131;14;2;2115;284;1272;134;75;88;50;6;34;18;6;82;2;9;39;5;11;;;;
Appingedam;G0003;10886;Groningen;P20;8093;6852;18;24;6810;2760;107;720;1126;160;637;408;237;226;8;75;186;56;14;55;35;;;;
Arcen en Velden;G0885;10202;Limburg;P31;4300;3524;11;14;3499;353;2061;493;53;93;3;37;83;74;1;104;1;34;86;6;17;;;;
Arkel;G0487;10079;Zuid-Holland;P28;2003;1810;5;9;1796;849;51;272;221;54;81;31;95;60;36;14;8;8;2;8;6;;;;
Arnemuiden;G0649;11419;Zeeland;P29;2024;1646;6;9;1631;336;8;74;219;39;217;12;15;33;549;26;73;7;1;7;15;;;;
Arnhem;G0202;10795;Gelderland;P25;92258;75423;307;110;75006;24237;11814;11984;4795;4673;2630;2434;3372;3874;277;1206;1029;1328;618;538;197;;;;
Asperen;G0488;11369;Zuid-Holland;P28;1570;1351;0;0;1351;307;33;175;339;29;114;19;56;46;166;7;41;11;1;3;4;;;;
Assen;G0106;10522;Drenthe;P22;27799;23946;83;43;23820;9350;611;3367;3313;972;1166;622;914;1050;63;262;1512;373;78;97;70;;;;
Assendelft;G0367;11373;Noord-Holland;P27;5514;4820;19;15;4786;1234;1036;504;173;416;46;706;223;128;35;40;28;81;84;15;21;16;;;
Asten;G0743;10478;Noord-Brabant;P30;7383;6241;9;30;6202;816;3702;574;102;206;30;73;203;106;2;186;5;79;80;13;25;;;;
Avenhorn;G0368;11147;Noord-Holland;P27;1456;1301;7;1;1293;344;430;177;44;46;12;52;53;34;;15;6;23;39;6;10;2;;;
Avereest;G0143;11190;Overijssel;P23;8038;6942;13;10;6919;1482;570;847;1363;156;1521;54;145;128;55;299;202;28;16;31;22;;;;
Axel;G0650;11289;Zeeland;P29;8039;6272;22;12;6238;1517;1089;793;659;308;444;78;167;96;123;173;609;29;79;31;43;;;;
Baarderadeel;G0061;10422;Fryslân;P21;3120;2788;13;3;2772;1063;102;478;413;87;226;45;78;109;5;31;38;40;4;25;28;;;;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;3234;2547;11;26;2510;335;1499;285;62;47;8;10;57;24;1;114;1;15;21;10;21;;;;
Baarn;G0308;11411;Utrecht;P26;17112;14264;140;23;14101;3117;1271;3283;1819;831;597;332;509;975;322;188;357;286;114;50;50;;;;
Baexem;G0886;11255;Limburg;P31;1161;941;3;9;929;66;628;122;13;18;3;1;16;8;;23;1;4;18;5;3;;;;
Baflo;G0004;10539;Groningen;P20;1865;1696;1;4;1691;461;4;244;661;50;47;29;20;38;1;17;94;11;;7;7;;;;
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;3710;3006;17;8;2981;317;1988;228;74;54;9;24;66;25;1;63;2;48;50;9;23;;;;
Barendrecht;G0489;10943;Zuid-Holland;P28;9126;8112;27;16;8069;1691;260;1287;2060;267;585;93;362;312;649;61;254;85;13;48;42;;;;
Barneveld;G0203;10906;Gelderland;P25;19358;17244;53;18;17173;1949;651;2128;2721;395;3105;104;365;476;3611;844;606;94;19;56;49;;;;
Barradeel;G0062;10156;Fryslân;P21;4425;3852;22;18;3812;858;44;244;1113;58;953;66;55;121;18;50;158;40;3;18;13;;;;
Barsingerhorn;G0369;10973;Noord-Holland;P27;2399;2025;18;3;2004;895;108;442;78;42;50;129;77;64;2;32;13;25;9;15;17;6;;;
Batenburg;G0204;10921;Gelderland;P25;382;343;3;2;338;47;157;25;20;20;17;2;9;1;;26;;1;11;;2;;;;
Bathmen;G0144;11030;Overijssel;P23;2750;2488;2;4;2482;621;91;683;121;58;489;14;99;118;6;94;8;22;7;33;18;;;;
Bedum;G0005;10425;Groningen;P20;5069;4686;13;3;4670;1050;188;391;1782;116;115;54;73;75;31;48;648;47;12;18;22;;;;
Beegden;G0887;11089;Limburg;P31;908;738;0;10;728;97;428;80;16;23;1;7;17;12;;23;1;2;11;6;4;;;;
Beek;G0888;11374;Limburg;P31;7903;6518;38;42;6438;1160;2664;953;166;227;27;123;449;158;2;156;14;84;134;73;48;;;;
Beek en Donk;G0746;10173;Noord-Brabant;P30;4497;3615;14;15;3586;695;1702;323;122;131;7;110;153;94;2;109;3;40;53;8;34;;;;
Beemster;G0370;10816;Noord-Holland;P27;4944;4303;28;6;4269;1154;808;999;216;171;86;163;203;226;8;67;17;69;41;16;18;7;;;
Beers;G0747;11410;Noord-Brabant;P30;1697;1484;5;3;1476;162;996;116;33;52;3;3;19;15;1;40;1;13;10;4;8;;;;
Beerta;G0006;11043;Groningen;P20;2364;2124;11;16;2097;640;25;218;37;7;33;992;27;41;4;11;17;10;4;14;17;;;;
Beesd;G0205;10259;Gelderland;P25;2346;2076;7;6;2063;519;554;239;105;49;274;32;53;49;66;50;23;9;15;8;18;;;;
Beesel;G0889;10195;Limburg;P31;6672;5073;22;48;5003;729;2737;522;119;143;15;55;183;130;3;156;6;53;91;19;42;;;;
Beilen;G0107;10520;Drenthe;P22;8180;7150;13;30;7107;2620;87;956;1356;174;792;95;160;193;14;222;244;71;4;78;41;;;;
Belfeld;G0890;10292;Limburg;P31;2593;2150;8;18;2124;300;1197;217;41;91;7;21;49;52;;74;2;28;21;3;21;;;;
Bellingwedde;G0007;10340;Groningen;P20;6648;5718;18;25;5675;2753;72;627;274;45;275;1054;113;145;15;76;63;31;15;77;40;;;;
Bemelen;G0891;10878;Limburg;P31;220;184;0;0;184;29;86;29;1;15;;3;6;2;;4;;2;7;;;;;;
Bemmel;G0206;10744;Gelderland;P25;8410;6805;0;0;6805;1176;3389;596;212;320;133;88;188;107;3;247;16;52;181;33;64;;;;
Bennebroek;G0372;10734;Noord-Holland;P27;3889;3266;17;4;3245;367;592;991;379;152;109;46;166;204;13;26;53;59;54;17;13;4;;;
Benschop;G0309;11330;Utrecht;P26;1861;1679;5;9;1665;181;400;178;277;39;204;8;33;36;229;20;29;11;9;1;10;;;;
Benthuizen;G0490;10398;Zuid-Holland;P28;1493;1317;8;2;1307;236;42;203;156;37;97;9;61;81;343;9;20;7;1;2;3;;;;
Berg en Terblijt;G0892;10796;Limburg;P31;2409;2040;6;12;2022;343;988;308;53;66;4;23;66;37;;66;4;7;35;12;10;;;;
Bergambacht;G0491;10962;Zuid-Holland;P28;3404;3049;20;25;3004;897;39;490;439;59;147;44;100;144;494;73;31;21;4;13;9;;;;
Bergen;G0373;11424;Noord-Holland;P27;9579;8310;28;26;8256;1729;1416;2309;442;534;131;212;374;572;2;98;51;230;70;39;27;20;;;
Bergen;G0893;11281;Limburg;P31;8077;6024;13;18;5993;614;4062;476;87;133;13;32;147;104;2;155;1;30;101;14;22;;;;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;26832;20977;115;86;20776;4467;6436;3661;914;981;289;498;1196;777;41;673;111;214;272;128;118;;;;
Bergeyk;G0749;11160;Noord-Brabant;P30;5001;4154;25;19;4110;517;2149;425;144;165;51;58;125;66;4;174;5;54;136;16;21;;;;
Bergh;G0207;10350;Gelderland;P25;11611;9208;5;34;9169;1596;4507;789;237;339;78;131;263;146;15;497;29;96;348;50;48;;;;
Bergharen;G0208;10883;Gelderland;P25;1459;1278;1;3;1274;137;734;108;35;55;52;7;28;11;3;60;8;6;13;3;14;;;;
Berghem;G0750;10733;Noord-Brabant;P30;2835;2290;17;2;2271;582;942;173;64;59;5;37;119;38;2;157;2;23;46;7;15;;;;
Bergschenhoek;G0492;10445;Zuid-Holland;P28;3795;3339;17;13;3309;541;486;600;400;135;464;38;166;84;118;55;126;25;35;22;12;;2;;
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;7205;6412;19;7;6386;700;1845;1044;636;252;585;50;212;230;50;71;530;55;65;37;23;;1;;
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;4756;4164;13;8;4143;405;1974;932;87;213;19;36;123;120;4;100;15;42;31;14;28;;;;
Berkenwoude;G0494;10797;Zuid-Holland;P28;811;753;7;0;746;149;10;206;95;23;15;10;28;41;136;18;5;5;;;5;;;;
Berkhout;G0374;10354;Noord-Holland;P27;2829;2494;4;10;2480;512;963;385;77;79;8;67;105;98;;31;8;54;73;6;9;5;;;
Berlicum;G0752;10362;Noord-Brabant;P30;4504;3647;0;1;3646;571;1536;573;174;171;46;46;135;87;10;114;33;40;70;20;20;;;;
Best;G0753;10442;Noord-Brabant;P30;10611;8785;29;18;8738;1807;3601;1147;242;434;59;180;426;255;15;290;42;119;84;15;22;;;;
Beuningen;G0209;10417;Gelderland;P25;4600;3745;23;11;3711;779;1513;451;115;208;61;43;116;95;3;140;19;49;51;32;36;;;;
Beusichem;G0210;11182;Gelderland;P25;1723;1527;2;5;1520;542;85;317;128;36;94;24;67;57;53;54;18;12;5;16;12;;;;
Beverwijk;G0375;10272;Noord-Holland;P27;26090;22128;0;155;21973;6301;4625;2660;996;1625;453;1893;971;895;69;343;182;440;262;75;117;66;;;
Bierum;G0008;11294;Groningen;P20;2547;2155;17;1;2137;475;10;198;681;39;455;52;40;27;3;46;75;15;5;9;7;;;;
Bingelrade;G0894;10967;Limburg;P31;521;448;1;2;445;77;266;22;9;21;;5;8;6;;4;;4;19;;4;;;;
Bladel en Netersel;G0754;11006;Noord-Brabant;P30;4533;3633;18;10;3605;568;1905;345;90;132;39;47;118;66;;116;2;62;90;4;21;;;;
Blankenham;G0145;10320;Overijssel;P23;248;233;0;0;233;65;13;64;18;1;53;1;4;3;;8;2;;1;;;;;;
Blaricum;G0376;10493;Noord-Holland;P27;4391;3792;19;6;3767;427;677;1290;143;206;67;77;181;332;10;95;35;123;53;23;22;6;;;
Bleiswijk;G0495;10994;Zuid-Holland;P28;3822;3400;16;0;3384;478;632;791;389;119;301;18;122;186;212;45;34;18;10;10;19;;;;
Bleskensgraaf en Hofwegen;G0496;10451;Zuid-Holland;P28;1311;1168;18;2;1148;190;15;110;316;39;58;15;35;25;289;14;25;11;1;3;2;;;;
Bloemendaal;G0377;10850;Noord-Holland;P27;13539;11547;63;31;11453;1476;1601;4517;824;502;346;157;346;973;48;83;143;211;146;42;27;11;;;
Blokker;G0378;10804;Noord-Holland;P27;2214;1921;20;5;1896;289;809;283;44;83;17;23;61;49;2;33;4;44;125;8;18;4;;;
Blokzijl;G0146;10689;Overijssel;P23;908;814;1;2;811;300;6;84;162;18;116;8;13;26;3;17;42;3;2;9;2;;;;
Bocholtz;G0895;10986;Limburg;P31;3260;2608;37;25;2546;464;1147;208;56;89;11;98;275;44;2;58;2;30;38;5;19;;;;
Bodegraven;G0497;11091;Zuid-Holland;P28;9440;8107;17;38;8052;1194;1253;1404;1569;375;642;125;277;282;457;99;229;56;48;20;19;;3;;
Boekel;G0755;10432;Noord-Brabant;P30;4290;3598;11;20;3567;453;2114;284;74;158;10;33;86;43;1;140;11;45;83;10;22;;;;
Bolsward;G0064;10865;Fryslân;P21;6314;5463;25;17;5421;1344;1172;429;871;272;609;94;127;168;15;45;81;91;53;25;25;;;;
Borculo;G0211;11307;Gelderland;P25;5772;5194;11;10;5173;1776;712;1115;445;98;361;44;160;163;4;100;25;28;8;121;13;;;;
Borger;G0108;10448;Drenthe;P22;7677;6624;30;25;6569;3137;89;959;834;89;513;194;137;229;8;106;94;57;12;53;58;;;;
Born;G0897;10927;Limburg;P31;4055;3266;18;38;3210;612;1686;291;78;111;11;48;87;61;;97;3;34;56;11;24;;;;
Borne;G0147;10326;Overijssel;P23;10874;9768;39;20;9709;2127;4044;858;442;404;386;256;290;276;24;219;64;58;146;73;42;;;;
Borsele;G0654;10043;Zeeland;P29;10689;9150;46;15;9089;1307;2239;934;969;392;1236;68;173;119;1058;237;147;42;99;23;46;;;;
Boskoop;G0499;10419;Zuid-Holland;P28;7985;7028;33;25;6970;1143;1016;1564;1133;192;552;87;252;300;276;61;114;114;84;49;30;;3;;
Bovenkarspel;G0379;10945;Noord-Holland;P27;4167;3546;12;6;3528;769;1065;389;110;271;24;216;297;135;6;46;8;75;85;10;18;4;;;
Boxmeer;G0756;11227;Noord-Brabant;P30;7053;5885;27;12;5846;885;3154;609;181;278;32;80;162;111;5;146;16;65;74;8;40;;;;
Boxtel;G0757;10083;Noord-Brabant;P30;12628;10306;62;64;10180;2142;4174;1136;316;638;44;193;385;230;3;432;24;123;255;33;52;;;;
Brakel;G0212;11125;Gelderland;P25;3531;2927;9;8;2910;936;20;106;470;35;259;15;42;37;840;71;28;14;6;8;23;;;;
Brandwijk;G0500;10169;Zuid-Holland;P28;666;581;7;0;574;88;2;75;188;16;32;1;10;4;125;8;12;2;;3;8;;;;
Breda;G0758;10154;Noord-Brabant;P30;82812;66186;315;247;65624;16910;17337;11402;2625;4410;883;1704;3083;1959;137;1958;385;1017;1059;297;458;;;;
Breukelen;G0311;10807;Utrecht;P26;6838;5971;40;12;5919;986;636;1180;732;394;514;70;316;392;315;87;175;53;29;21;19;;;;
Brielle;G0501;10232;Zuid-Holland;P28;5930;5016;26;19;4971;1737;260;1064;500;247;272;115;351;206;30;38;34;68;12;14;23;;;;
Broek in Waterland;G0380;10289;Noord-Holland;P27;1645;1424;15;0;1409;384;34;339;116;78;123;60;98;78;11;44;4;29;1;3;7;;;;
Broekhuizen;G0898;10856;Limburg;P31;942;818;1;3;814;82;487;98;12;20;1;9;7;17;;25;1;13;33;2;7;;;;
Brouwershaven;G0656;10030;Zeeland;P29;2317;1989;10;9;1970;800;22;406;237;24;106;24;41;76;71;26;81;13;2;20;21;;;;
Bruinisse;G0657;11291;Zeeland;P29;1851;1594;10;0;1584;384;8;256;201;18;194;20;27;28;366;23;32;6;;10;11;;;;
Brummen;G0213;10798;Gelderland;P25;12412;10745;31;22;10692;4816;620;1446;850;379;938;191;393;396;41;282;106;66;25;96;47;;;;
Brunssum;G0899;10533;Limburg;P31;17151;13685;70;74;13541;4447;4215;981;412;775;174;695;535;234;11;271;85;129;309;208;60;;;;
Budel;G0759;10219;Noord-Brabant;P30;6149;4688;18;35;4635;875;2375;427;97;140;9;63;131;64;3;252;9;51;84;18;37;;;;
Bunde;G0900;10831;Limburg;P31;2968;2345;10;8;2327;416;919;441;64;122;4;40;74;88;1;44;3;29;45;17;20;;;;
Bunnik;G0312;10820;Utrecht;P26;7408;6640;25;15;6600;864;1839;1284;535;506;243;90;283;419;151;66;75;131;66;23;25;;;;
Bunschoten;G0313;11343;Utrecht;P26;7167;6568;15;25;6528;316;47;419;2640;64;100;16;58;86;357;23;2367;15;1;11;8;;;;
Buren;G0214;11286;Gelderland;P25;1824;1544;2;9;1533;620;45;186;102;37;249;13;35;70;68;49;28;14;2;7;8;;;;
Bussum;G0381;10281;Noord-Holland;P27;28509;24457;100;104;24253;4279;3135;6617;1877;1462;800;777;1125;2063;238;291;458;455;391;196;68;21;;;
Buurmalsen;G0215;10460;Gelderland;P25;1870;1636;10;3;1623;595;57;193;169;41;213;17;54;33;175;36;17;12;2;4;5;;;;
Cadier en Keer;G0901;11447;Limburg;P31;2065;1692;13;13;1666;245;719;288;43;126;3;28;57;49;2;33;2;13;36;5;17;;;;
Callantsoog;G0382;10559;Noord-Holland;P27;1124;951;0;5;946;347;113;236;44;19;5;18;52;37;4;26;13;20;2;4;6;;;;
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;20155;16842;55;62;16725;5319;649;2885;1234;748;749;466;1348;801;1449;173;542;201;55;59;43;;4;;
Castricum;G0383;11287;Noord-Holland;P27;13522;11600;36;26;11538;2182;2586;2431;617;986;173;236;566;826;7;121;72;301;168;54;51;161;;;
Chaam;G0760;11433;Noord-Brabant;P30;1997;1674;12;11;1651;255;764;258;48;69;21;11;31;19;;113;1;10;16;8;27;;;;
Coevorden;G0109;10383;Drenthe;P22;8454;7383;23;15;7345;2612;1428;837;850;210;550;103;199;195;12;106;94;43;35;40;31;;;;
Cothen;G0314;11316;Utrecht;P26;1310;1156;7;2;1147;140;567;155;36;50;52;10;20;35;24;4;7;13;29;2;3;;;;
Cuijk en Sint Agatha;G0761;10023;Noord-Brabant;P30;7725;6284;25;28;6231;1330;2730;688;188;380;25;89;281;114;5;193;16;91;58;11;32;;;;
Culemborg;G0216;10342;Gelderland;P25;10650;9082;17;12;9053;2821;1848;1398;567;445;249;270;373;388;188;125;90;81;134;41;35;;;;
Dalen;G0110;11004;Drenthe;P22;3218;2836;11;10;2815;1159;227;733;184;45;153;27;40;93;1;95;15;16;5;17;5;;;;
Dalfsen;G0148;11007;Overijssel;P23;8091;7341;15;13;7313;897;1897;644;650;169;1774;17;111;172;64;244;530;42;57;26;19;;;;
Dantumadeel;G0065;10650;Fryslân;P21;10781;9231;99;18;9114;2316;63;562;2702;153;1259;202;150;113;817;189;469;52;10;18;39;;;;
De Bilt;G0310;10168;Utrecht;P26;21679;19545;55;70;19420;3745;1868;5264;1874;1261;779;194;1003;1821;337;121;492;376;139;101;45;;;;
De Lier;G0552;10241;Zuid-Holland;P28;5062;4539;12;19;4508;525;601;799;1063;147;663;42;165;175;40;55;160;17;37;7;12;;;;
De Wijk;G0135;10753;Drenthe;P22;2940;2587;4;8;2575;912;28;604;427;31;193;15;40;118;5;97;38;11;4;16;36;;;;
Deil;G0217;10057;Gelderland;P25;1976;1699;6;7;1686;517;197;259;137;45;222;17;53;59;51;54;18;12;13;15;17;;;;
Delft;G0503;10928;Zuid-Holland;P28;62006;52717;148;184;52385;15384;6760;7007;3906;4951;1612;2645;3113;2891;836;349;795;1407;438;153;138;;;;
Delfzijl;G0010;10976;Groningen;P20;14425;11838;23;42;11773;4858;254;1370;1631;316;712;848;476;449;23;146;394;130;21;97;48;;;;
Den Dungen;G0768;10491;Noord-Brabant;P30;2485;2111;1;11;2099;331;1067;195;74;117;7;26;80;24;;91;4;24;39;6;14;;;;
Den Ham;G0159;10395;Overijssel;P23;7801;6786;14;14;6758;1372;346;323;1638;173;1791;58;66;111;70;291;415;30;23;26;25;;;;
Den Helder;G0400;10285;Noord-Holland;P27;40710;32159;195;54;31910;9495;2858;7996;3126;1325;793;601;1521;1866;238;372;874;408;167;111;96;63;;;
Denekamp;G0149;10245;Overijssel;P23;6815;5953;17;16;5920;612;3565;415;163;216;228;59;81;104;2;266;17;22;87;60;23;;;;
Deurne;G0762;10379;Noord-Brabant;P30;14982;11682;16;34;11632;1748;6269;1000;375;382;137;247;384;201;11;393;16;145;239;28;57;;;;
Deventer;G0150;10899;Overijssel;P23;43453;36842;102;50;36690;14633;4637;5014;1840;1641;1004;2108;1783;1569;113;587;383;614;283;368;113;;;;
Didam;G0218;10153;Gelderland;P25;8344;6822;32;19;6771;1117;3135;560;210;340;69;77;181;115;6;535;16;46;242;83;39;;;;
Diemen;G0384;11039;Noord-Holland;P27;8030;6953;21;11;6921;1664;878;1290;488;415;247;385;587;451;35;77;50;191;70;58;31;4;;;
Diepenheim;G0151;10311;Overijssel;P23;1689;1508;4;4;1500;588;136;326;81;14;96;12;38;72;2;75;9;10;3;32;6;;;;
Diepenveen;G0152;10933;Overijssel;P23;7440;6688;21;20;6647;1416;1598;1257;449;246;511;58;255;307;14;219;40;75;84;89;29;;;;
Diessen;G0763;11185;Noord-Brabant;P30;1887;1646;8;4;1634;142;1085;150;46;35;11;8;19;19;;57;4;10;20;11;17;;;;
Diever;G0111;10418;Drenthe;P22;2128;1901;3;3;1895;718;32;375;382;36;53;11;42;82;;64;37;15;1;23;24;;;;
Dinteloord en Prinsenland;G0764;11193;Noord-Brabant;P30;3104;2600;23;8;2569;690;558;251;275;48;275;37;48;29;234;42;40;3;19;13;7;;;;
Dinxperlo;G0219;11154;Gelderland;P25;4133;3446;18;12;3416;667;547;335;500;60;951;21;76;67;6;60;33;23;12;34;24;;;;
Dirksland;G0504;11344;Zuid-Holland;P28;4359;3701;46;19;3636;954;40;319;588;28;181;41;58;46;1103;144;84;19;1;16;14;;;;
Dodewaard;G0220;10647;Gelderland;P25;2327;2041;4;3;2034;845;50;180;268;52;186;9;42;47;237;50;40;8;4;2;14;;;;
Doesburg;G0221;10327;Gelderland;P25;6028;5117;22;5;5090;1829;1208;566;274;167;268;107;186;151;27;93;50;39;56;47;22;;;;
Doetinchem;G0222;10396;Gelderland;P25;22064;18462;54;13;18395;5762;4381;2453;1106;865;928;268;699;671;153;407;134;205;117;171;75;;;;
Dokkum;G0066;10198;Fryslân;P21;6687;6040;22;7;6011;1307;128;459;2500;156;659;47;99;124;130;21;290;24;21;37;9;;;;
Domburg;G0660;10236;Zeeland;P29;2343;2055;2;4;2049;392;25;285;384;73;304;17;36;85;300;22;71;15;6;21;13;;;;
Dongen;G0766;11412;Noord-Brabant;P30;10891;8910;64;49;8797;1800;3502;1130;301;621;88;140;289;143;8;418;16;78;143;48;72;;;;
Doniawerstal;G0067;10086;Fryslân;P21;3803;3384;12;10;3362;690;705;299;503;127;578;36;68;119;33;64;43;10;39;20;28;;;;
Doorn;G0315;10213;Utrecht;P26;6644;5511;12;35;5464;1107;268;1420;685;202;502;36;220;413;244;76;165;60;18;31;17;;;;
Doornspijk;G0223;10069;Gelderland;P25;6890;5978;18;16;5944;833;98;647;861;85;622;40;107;183;1838;245;313;29;3;22;18;;;;
Dordrecht;G0505;11157;Zuid-Holland;P28;69292;56935;243;204;56488;22122;3336;8190;5932;2199;2902;2508;2679;2115;1651;533;1065;704;153;216;183;;;;
Dreumel;G0224;11232;Gelderland;P25;2053;1742;7;0;1735;299;905;158;34;68;22;24;32;17;;91;1;7;50;7;20;;;;
Driebergen-Rijsenburg;G0316;10777;Utrecht;P26;11319;9925;56;44;9825;2006;830;2335;1255;523;563;136;332;614;528;128;319;124;70;39;23;;;;
Driebruggen;G0506;10830;Zuid-Holland;P28;2414;2128;9;6;2113;191;324;229;489;64;274;15;56;64;291;47;29;17;12;5;6;;;;
Dronten;G0303;10210;Niet-provinciaal ingedeeld;P99;7330;6721;13;3;6705;1266;820;1215;1296;376;583;112;244;240;137;73;259;48;11;20;5;;;;
