RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Algemeen Ouderen Verbond (AOV);GL;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);SP (Socialistische Partij);Ouderen Unie 55+;Centrumpartij;Natuurwetpartij;Vrije Indische Partij;De Groenen;Nieuwe Communistische Partij;Solidariteit Boerenpartij;Partij voor Milieu en Recht;Solidair '93;Pacifistisch Socialistische Partij '92;De Nieuwe Partij;Algemeen Democratische Partij;Patriottisch Democratisch Appèl;Socialistische Arbeiderspartij;Libertarische Partij
Aalburg;G0738;11084;Noord-Brabant;P30;7978;6739;;17;6722;812;1733;931;502;179;55;148;554;1496;197;34;20;12;10;1;6;0;9;5;5;0;6;0;3;1;3
Aalsmeer;G0358;11264;Noord-Holland;P27;16903;13981;;28;13953;2107;3581;4380;1988;483;293;246;283;77;123;41;85;85;30;11;27;4;9;15;7;15;15;8;29;6;5
Aalten;G0197;11046;Gelderland;P25;13722;11515;;26;11489;2301;5193;1407;1267;254;220;145;376;27;81;40;54;27;12;5;21;3;27;9;1;1;6;6;;1;5
Aardenburg;G0648;11020;Zeeland;P29;2576;1987;;15;1972;454;605;442;216;88;27;61;6;7;10;2;18;9;0;1;4;3;9;3;;0;2;2;;1;2
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;4420;3603;;11;3592;757;1182;629;536;150;65;82;9;5;12;43;71;6;10;3;1;0;4;2;;5;17;0;1;2;0
Abcoude;G0305;10712;Utrecht;P26;6107;5288;;0;5288;827;1273;1653;865;126;135;99;69;52;52;18;47;6;11;9;12;5;7;1;0;5;1;1;9;3;2
Achtkarspelen;G0059;10199;Fryslân;P21;20628;16640;;46;16594;5145;5721;1320;1222;250;268;219;1033;195;915;64;31;55;22;5;14;30;18;17;15;12;7;10;;1;5
Akersloot;G0360;10346;Noord-Holland;P27;3676;3118;;8;3110;616;814;798;522;127;78;42;12;0;10;12;36;8;16;0;6;1;3;1;1;1;0;0;2;2;2
Alblasserdam;G0482;11327;Zuid-Holland;P28;12985;10774;;38;10736;3193;1843;1615;1283;267;163;267;466;1150;177;68;57;58;37;39;7;9;2;6;10;5;11;0;1;2;0
Albrandswaard;G0613;10124;Zuid-Holland;P28;11623;9436;;26;9410;1648;2056;2971;1345;286;167;282;114;144;131;49;68;42;29;7;12;2;7;13;8;10;11;0;3;4;1
Alkemade;G0483;10349;Zuid-Holland;P28;10553;8841;;15;8826;1037;3119;2418;1147;242;332;205;28;18;26;64;64;38;24;0;12;7;11;13;0;9;3;2;;2;5
Alkmaar;G0361;10527;Noord-Holland;P27;67168;51860;;85;51775;13996;8566;10239;9482;1812;2938;835;402;72;357;1210;512;242;317;100;147;57;24;58;128;91;60;10;56;36;28
Almelo;G0141;11053;Overijssel;P23;46503;36034;;119;35915;10794;8260;5657;5257;962;926;902;547;104;441;526;864;174;85;186;24;51;24;35;18;26;29;7;;5;11
Almere;G0034;10018;Flevoland;P24;67424;52007;;172;51835;11768;4484;14610;11473;2741;2127;1610;334;57;402;476;474;301;223;117;60;115;21;63;89;35;35;;192;11;17
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;47950;37738;;65;37673;6272;7797;9797;6983;1049;1119;607;1099;525;523;1188;181;99;81;90;85;16;22;47;9;29;20;10;;16;9
Alphen en Riel;G0741;10710;Noord-Brabant;P30;4657;3907;;9;3898;581;1609;775;556;164;51;61;10;3;6;19;18;9;8;5;1;2;1;11;0;2;1;1;0;2;2
Ambt Delden;G0142;11400;Overijssel;P23;3995;3585;;6;3579;401;2018;718;257;36;26;50;7;2;8;3;20;3;4;0;1;3;19;1;2;0;0;0;;0;0
Ameland;G0060;11153;Fryslân;P21;2543;2812;;7;2805;735;968;522;308;74;62;33;22;6;29;4;14;8;3;0;1;6;1;0;2;4;0;0;;1;2
Amerongen;G0306;11372;Utrecht;P26;5413;4609;;3;4606;884;1020;1087;585;121;62;93;191;393;55;19;25;14;7;7;2;2;15;3;2;4;8;1;2;0;4
Amersfoort;G0307;10948;Utrecht;P26;81899;64178;;171;64007;13676;11984;13333;11939;2046;3011;1298;1064;713;2583;401;727;221;227;204;97;54;51;52;74;48;60;19;60;45;20
Ammerzoden;G0198;10151;Gelderland;P25;3333;2775;;11;2764;493;1021;489;357;113;31;87;31;42;14;19;37;5;6;0;5;2;4;1;;0;0;5;;2;0
Amstelveen;G0362;10799;Noord-Holland;P27;57379;48042;;61;47981;9210;8042;15470;8979;1995;1645;532;332;82;276;193;349;155;204;154;64;27;32;47;15;43;24;9;75;18;9
Amsterdam;G0363;11150;Noord-Holland;P27;506028;352114;;1563;350551;116425;27711;64228;62194;14567;29931;12893;1517;324;1194;5386;3292;2095;1739;935;1543;1357;107;331;432;663;230;79;969;308;101
Andijk;G0364;10822;Noord-Holland;P27;4483;3802;;16;3786;749;1198;681;426;93;144;72;254;49;30;12;23;8;6;3;4;6;10;2;2;6;1;4;1;0;2
Angerlo;G0199;11131;Gelderland;P25;3481;2988;;7;2981;861;948;471;460;73;62;35;8;6;3;13;23;2;3;2;2;2;1;2;0;0;3;1;;0;0
Anloo;G0105;10787;Drenthe;P22;6145;5224;;17;5207;1960;403;1431;857;121;160;51;20;3;56;29;34;1;11;5;10;6;11;6;0;5;2;23;;1;1
Anna Paulowna;G0366;10344;Noord-Holland;P27;9411;7549;;25;7524;1543;1611;2423;1087;239;138;138;58;18;62;12;69;26;27;13;9;8;15;10;1;1;4;1;6;1;4
Apeldoorn;G0200;11075;Gelderland;P25;113179;89223;;184;89039;21130;19240;18069;15523;2772;2639;1441;2201;2087;1180;543;728;190;375;228;106;70;135;99;70;50;67;14;;50;32
Appingedam;G0003;10886;Groningen;P20;9688;7493;;9;7484;2927;1502;852;1073;325;134;102;110;12;142;97;52;24;8;16;19;53;11;7;0;2;2;9;;3;2
Arcen en Velden;G0885;10202;Limburg;P31;6584;5275;;16;5259;979;2088;905;756;165;126;93;9;3;10;28;40;10;15;0;8;1;6;2;4;0;1;6;;1;3
Arnemuiden;G0649;11419;Zeeland;P29;3389;2796;;9;2787;429;433;371;212;32;22;132;494;574;26;6;14;18;10;3;2;1;2;3;;0;2;0;;1;0
Arnhem;G0202;10795;Gelderland;P25;101483;75764;;281;75483;21342;11940;12753;14507;3138;4776;1590;731;155;688;1674;582;301;352;400;107;53;20;72;41;102;61;12;;68;18
Assen;G0106;10522;Drenthe;P22;39165;32125;;58;32067;10921;5098;5022;5117;668;1392;332;488;38;1933;421;158;66;65;97;11;40;42;20;21;29;19;39;;19;11
Asten;G0743;10478;Noord-Brabant;P30;11696;9732;;25;9707;1629;3718;1703;1433;511;206;167;14;8;28;102;67;18;42;3;6;5;14;9;;2;6;2;1;11;2
Avereest;G0143;11190;Overijssel;P23;10956;9154;;32;9122;2013;3095;1578;1139;214;102;161;279;58;227;25;70;26;13;3;8;4;42;13;2;2;5;35;;7;1
Axel;G0650;11289;Zeeland;P29;8881;6640;;37;6603;1412;1418;1171;878;331;110;280;70;75;642;34;73;48;7;10;9;3;8;11;;2;4;3;;3;1
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;4347;3343;;10;3333;516;1320;616;413;208;60;92;9;6;5;12;17;12;9;2;4;3;5;8;5;1;4;2;2;1;1
Baarn;G0308;11411;Utrecht;P26;18716;15287;;36;15251;2848;2996;4649;2409;461;403;297;432;127;176;89;110;47;57;21;20;6;10;15;14;21;10;4;19;2;8
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;5770;4440;;11;4429;645;1992;639;649;193;61;117;3;4;8;31;22;14;16;1;6;1;8;5;;0;0;9;2;2;1
Barendrecht;G0489;10943;Zuid-Holland;P28;15929;13306;;17;13289;2079;3277;3420;2071;250;205;209;407;870;268;60;56;40;22;7;8;5;4;4;2;5;6;2;4;6;2
Barneveld;G0203;10906;Gelderland;P25;30989;27148;;68;27080;2537;8124;4722;2372;493;270;508;2319;4581;729;51;101;65;40;38;5;10;50;15;6;8;10;17;;5;4
Bathmen;G0144;11030;Overijssel;P23;3984;3523;;11;3512;802;821;1107;568;63;50;31;9;3;5;6;23;5;3;1;1;1;9;1;1;1;0;0;;1;0
Bedum;G0005;10425;Groningen;P20;7589;6751;;7;6744;1550;2222;669;884;154;147;46;101;19;835;35;25;7;22;3;7;5;6;0;0;3;0;4;;0;0
Beek;G0888;11374;Limburg;P31;13152;10391;;55;10336;2366;2954;1888;1595;548;297;265;13;5;42;71;92;42;74;17;7;2;7;14;9;9;3;5;;9;2
Beek en Donk;G0746;10173;Noord-Brabant;P30;7137;5512;;27;5485;1167;1799;765;796;325;243;147;9;6;9;101;54;5;16;4;2;3;9;6;;0;3;4;1;7;4
Beemster;G0370;10816;Noord-Holland;P27;6110;5268;;29;5239;1154;1120;1754;684;175;103;71;24;2;9;18;30;11;25;4;14;1;8;3;4;8;3;5;7;1;1
Beesel;G0889;10195;Limburg;P31;9737;7363;;35;7328;1733;2249;1170;1018;342;173;375;18;10;14;34;93;19;33;10;4;4;3;13;8;0;2;1;;1;1
Beilen;G0107;10520;Drenthe;P22;11212;9394;;20;9374;3412;2157;1703;1005;167;198;74;119;23;232;38;23;13;11;8;16;4;35;6;5;1;1;120;;1;2
Belfeld;G0890;10292;Limburg;P31;3917;2944;;2;2942;694;1025;516;417;72;42;83;0;3;1;17;33;8;10;3;9;0;1;1;1;3;2;0;;0;1
Bellingwedde;G0007;10340;Groningen;P20;7510;6017;;46;5971;2913;611;796;600;224;270;119;116;13;39;44;34;18;12;3;11;97;21;4;6;5;3;8;;2;2
Bemmel;G0206;10744;Gelderland;P25;12396;9832;;35;9797;2287;3276;1539;1886;263;157;175;17;11;19;27;60;17;15;16;6;3;6;4;2;2;2;5;;2;0
Bennebroek;G0372;10734;Noord-Holland;P27;4250;3615;;14;3601;494;1032;1271;462;108;84;34;20;4;23;9;24;4;17;0;6;0;1;2;2;1;1;0;1;1;0
Bergambacht;G0491;10962;Zuid-Holland;P28;6906;6090;;14;6076;1491;1038;1473;654;110;68;186;223;679;44;19;23;18;7;9;5;5;8;4;3;1;4;1;;3;0
Bergen;G0373;11424;Noord-Holland;P27;10992;9382;;13;9369;1863;1740;3045;1581;300;387;109;31;3;26;18;68;17;71;6;43;3;7;4;8;7;25;0;3;2;2
Bergen;G0893;11281;Limburg;P31;9852;7346;;38;7308;1709;2789;1128;910;287;107;148;5;3;16;35;64;20;25;4;4;3;18;8;10;6;1;2;;3;3
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;34152;24613;;58;24555;4972;5018;5582;4286;1761;747;1000;90;40;72;343;188;123;38;97;36;21;11;29;11;26;20;5;20;7;12
Bergeyk;G0749;11160;Noord-Brabant;P30;7965;6483;;13;6470;1180;2471;1114;864;331;133;178;27;10;20;41;51;9;2;2;3;10;6;9;;0;0;0;4;5;0
Bergh;G0207;10350;Gelderland;P25;13901;10751;;60;10691;2898;3629;1580;1505;347;177;239;23;17;31;36;80;21;35;7;17;5;12;10;3;5;4;4;;4;2
Bergschenhoek;G0492;10445;Zuid-Holland;P28;6037;5038;;19;5019;613;1459;1401;682;138;102;169;146;47;161;20;27;31;8;1;2;0;0;8;3;0;0;0;;1;0
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;11357;9965;;26;9939;1091;3151;2451;1550;240;168;190;96;55;761;45;42;24;25;6;14;1;1;13;5;2;3;2;;2;1
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;7931;6833;;25;6808;957;2387;1694;1107;250;142;89;19;9;16;30;49;14;9;4;5;3;1;6;0;1;3;2;7;1;3
Berlicum;G0752;10362;Noord-Brabant;P30;6657;5460;;9;5451;1333;1710;944;779;211;107;104;7;10;6;139;34;14;22;2;5;2;5;7;;1;2;2;1;2;2
Bernisse;G0568;10316;Zuid-Holland;P28;9487;7600;;12;7588;1481;1602;2314;1264;161;109;156;99;118;52;38;65;42;30;3;5;6;12;12;5;1;2;3;2;3;3
Best;G0753;10442;Noord-Brabant;P30;16750;13538;;46;13492;2758;3668;2565;2442;828;241;378;53;25;91;159;96;39;55;19;15;4;6;10;;11;9;4;4;9;3
Beuningen;G0209;10417;Gelderland;P25;17170;13509;;45;13464;3234;3375;2490;2781;425;387;276;51;16;35;138;96;24;32;17;19;7;11;13;;9;17;9;;2;0
Beverwijk;G0375;10272;Noord-Holland;P27;26923;20912;;76;20836;5656;3782;4143;3490;1354;724;504;117;27;86;129;288;59;96;67;76;29;12;33;33;15;13;12;48;35;8
Binnenmaas;G0585;10222;Zuid-Holland;P28;14465;11958;;23;11935;2634;2326;3371;1674;241;169;296;255;687;92;44;44;26;18;6;15;5;4;7;2;1;10;0;3;3;2
Bladel en Netersel;G0754;11006;Noord-Brabant;P30;7921;6023;;16;6007;1116;2222;944;891;319;136;138;10;8;21;81;31;20;33;1;5;4;9;7;;3;0;2;2;4;0
Blaricum;G0376;10493;Noord-Holland;P27;7714;6736;;13;6723;1096;1237;2576;1120;187;155;94;37;12;27;30;58;11;26;17;7;3;4;5;4;3;4;0;6;4;0
Bleiswijk;G0495;10994;Zuid-Holland;P28;6792;5714;;8;5706;684;1700;1743;784;115;70;113;214;118;66;15;28;19;13;8;3;2;1;3;1;2;1;1;;0;2
Bloemendaal;G0377;10850;Noord-Holland;P27;13103;11466;;27;11439;1496;2352;4782;1742;288;318;99;57;19;68;22;75;13;30;13;16;6;1;8;1;9;6;2;14;1;1
Boarnsterhim;G0055;10815;Fryslân;P21;13645;11626;;34;11592;4565;1946;2273;1710;235;339;95;106;31;46;65;37;21;20;6;8;24;11;9;10;20;4;3;;6;2
Bodegraven;G0497;11091;Zuid-Holland;P28;13517;11139;;27;11112;1579;3377;2408;1543;249;244;272;511;503;187;38;68;54;11;11;9;8;10;14;1;3;1;5;;3;3
Boekel;G0755;10432;Noord-Brabant;P30;6764;5489;;22;5467;998;2421;727;698;229;87;83;8;3;9;92;37;10;10;1;5;1;12;7;;6;6;13;0;3;1
Bolsward;G0064;10865;Fryslân;P21;7460;6032;;22;6010;1669;2015;768;796;149;180;49;101;12;70;96;39;10;7;2;5;4;4;8;13;7;2;2;;0;2
Borculo;G0211;11307;Gelderland;P25;7666;6537;;31;6506;2017;1360;1730;835;120;125;90;32;1;37;27;66;5;10;6;10;2;4;22;4;1;1;0;;0;1
Borger;G0108;10448;Drenthe;P22;10124;8694;;29;8665;3552;1467;1609;1087;176;178;107;96;15;123;45;48;14;21;3;8;11;19;10;7;8;9;45;;4;3
Born;G0897;10927;Limburg;P31;10990;8810;;52;8758;2180;2714;1160;1320;522;252;251;22;13;38;68;71;13;41;25;11;7;4;16;5;3;3;4;;11;4
Borne;G0147;10326;Overijssel;P23;16104;13598;;30;13568;3138;5008;2367;1780;276;272;176;82;17;78;69;165;34;33;13;13;5;15;6;3;6;5;5;;0;2
Borsele;G0654;10043;Zeeland;P29;15487;12554;;44;12510;2213;3369;2163;1571;455;230;315;303;1443;144;42;117;46;27;13;18;6;11;4;;2;10;3;;2;3
Boskoop;G0499;10419;Zuid-Holland;P28;10822;9263;;21;9242;1299;2624;2337;1341;159;289;253;345;296;94;48;57;30;16;6;6;4;5;10;3;3;8;1;;3;5
Boxmeer;G0756;11227;Noord-Brabant;P30;14925;12530;;36;12494;2892;4433;1872;1711;411;298;218;36;13;26;363;78;16;49;12;3;3;6;15;;18;9;0;6;3;3
Boxtel;G0757;10083;Noord-Brabant;P30;18846;14191;;25;14166;3263;3579;2203;2443;659;399;354;28;20;38;608;372;37;57;20;14;8;6;9;;22;8;9;5;1;4
Brakel;G0212;11125;Gelderland;P25;4928;4136;;15;4121;928;953;480;302;88;42;69;226;943;55;9;11;4;2;1;2;2;0;0;;1;0;2;;1;0
Breda;G0758;10154;Noord-Brabant;P30;98704;71706;;157;71549;15817;12888;14276;15514;3706;3813;2179;272;119;245;693;680;286;209;291;70;90;16;108;28;50;89;16;34;31;29
Brederwiede;G0194;11088;Overijssel;P23;9073;7885;;28;7857;1997;2385;1264;790;150;116;97;202;47;657;21;39;19;7;3;8;6;23;3;2;6;2;10;;1;2
Breukelen;G0311;10807;Utrecht;P26;10590;9019;;0;9019;1182;2279;2356;1403;257;294;133;337;507;66;31;77;22;24;9;12;3;8;3;2;2;4;1;4;3;0
Brielle;G0501;10232;Zuid-Holland;P28;12056;9765;;23;9742;1985;1511;3171;1899;276;178;234;71;44;30;56;146;34;29;13;11;10;7;9;6;10;0;1;1;7;3
Broekhuizen;G0898;10856;Limburg;P31;1409;1165;;5;1160;195;516;202;124;33;29;21;0;3;4;4;6;6;7;0;0;0;4;0;0;2;1;1;;0;2
Brouwershaven;G0656;10030;Zeeland;P29;2957;2478;;4;2474;684;360;656;396;61;45;28;45;51;82;17;13;5;18;0;2;3;0;2;;2;2;0;;2;0
Bruinisse;G0657;11291;Zeeland;P29;2583;2249;;8;2241;453;419;516;199;40;18;38;121;367;24;9;10;11;4;2;0;0;0;0;;5;1;2;;2;0
Brummen;G0213;10798;Gelderland;P25;15663;13000;;48;12952;4391;2201;2795;2164;327;310;191;103;37;72;62;73;32;48;12;11;37;24;10;4;8;29;3;;8;0
Brunssum;G0899;10533;Limburg;P31;23355;16398;;37;16361;4728;4049;1786;2094;1066;394;528;99;29;143;839;191;90;93;37;38;62;10;18;7;28;16;3;;8;5
Budel;G0759;10219;Noord-Brabant;P30;9349;7065;;24;7041;1514;2502;1061;936;432;103;232;19;3;10;61;58;23;20;2;5;5;9;14;;3;8;5;10;4;2
Bunnik;G0312;10820;Utrecht;P26;10775;9539;;16;9523;1565;2639;2452;1505;243;443;174;115;118;59;35;66;32;28;6;13;4;4;4;3;4;4;1;2;2;2
