RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP (Socialistische Partij);Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek
Huizen;G0406;11170;Noord-Holland;P27;18184;16488;165;;16323;3511;5175;3915;1256;1064;151;241;135;131;84;123;444;54;21;8;;7;1;2;;;;;
Hulsberg;G0924;11216;Limburg;P31;3090;2746;24;;2722;694;1238;565;82;;2;35;;15;32;13;1;5;33;;;5;1;1;;;;;
Hulst;G0677;11408;Zeeland;P29;11525;9632;60;;9572;3205;3891;1552;326;8;36;169;12;50;154;26;12;34;69;5;;8;12;3;;;;;
Hummelo en Keppel;G0256;11235;Gelderland;P25;2902;2657;8;;2649;853;826;714;129;7;4;35;6;11;36;10;4;2;10;1;;1;;;;;;;
Hunsel;G0925;10784;Limburg;P31;3247;2843;9;;2834;473;1858;309;50;5;4;23;1;26;38;4;1;2;26;2;;10;2;;;;;;
Idaarderadeel;G0078;10815;Fryslân;P21;5977;5607;23;;5584;3214;805;927;344;5;63;112;7;37;17;36;7;5;3;2;;;;;;;;;
IJlst;G0102;11062;Fryslân;P21;1537;1425;6;;1419;402;719;138;83;5;2;13;16;6;5;14;8;5;1;1;1;;;;;;;;
IJsselham;G0195;10858;Overijssel;P23;3312;3108;3;;3105;935;1382;443;97;21;12;30;74;23;35;15;26;4;2;3;;1;1;1;;;;;
IJsselmuiden;G0191;10641;Overijssel;P23;6940;6533;17;;6516;777;2685;457;121;1762;10;32;125;9;58;17;438;7;16;1;;1;;;;;;;
IJsselstein;G0353;10152;Utrecht;P26;10626;9507;49;;9458;2658;3306;1851;618;443;77;206;20;88;37;36;33;22;39;12;6;2;;4;;;;;
Ilpendam;G0407;10809;Noord-Holland;P27;2266;2078;14;;2064;617;571;471;100;8;189;28;1;13;15;21;8;6;12;1;;1;2;;;;;;
Jabeek;G0927;10256;Limburg;P31;461;497;4;;493;161;260;30;12;;8;9;;6;;3;;;2;;;1;1;;;;;;
Jisp;G0408;10481;Noord-Holland;P27;669;608;1;;607;247;68;162;44;;37;15;3;7;11;7;2;2;1;;;;;;1;;;;
Kamerik;G0323;10554;Utrecht;P26;2179;2031;12;;2019;255;1074;264;85;233;2;22;15;10;21;5;24;2;3;3;;;1;;;;;;
Kampen;G0166;10253;Overijssel;P23;20042;18422;55;;18367;5446;6628;1608;576;1460;69;232;636;94;153;62;1319;29;43;5;;1;2;4;;;;;
Kantens;G0020;10372;Groningen;P20;1091;1209;9;;1200;509;259;205;23;4;8;20;133;14;6;7;4;3;1;4;;;;;;;;;
Kapelle;G0678;11223;Zeeland;P29;6079;5392;30;;5362;1444;1806;960;244;396;12;54;64;12;222;28;91;18;6;3;;2;;;;;;;
Katwijk;G0537;10707;Zuid-Holland;P28;24800;21792;195;;21597;4309;8211;3309;746;3887;60;216;166;57;105;144;235;70;33;19;9;10;4;7;;;;;
Katwoude;G0409;11136;Noord-Holland;P27;190;183;0;;183;23;62;67;14;2;;4;1;2;7;1;;;;;;;;;;;;;
Kedichem;G0538;10280;Zuid-Holland;P28;826;777;9;;768;275;133;256;19;49;1;9;2;2;10;3;7;1;;1;;;;;;;;;
Kerkrade;G0928;10313;Limburg;P31;32995;26355;490;;25865;11234;8585;3202;696;13;522;542;8;145;251;145;16;113;196;99;;58;29;11;;;;;
Kerkwijk;G0257;10791;Gelderland;P25;3758;3370;12;;3358;770;970;405;90;981;8;20;36;7;33;5;28;1;;3;;1;;;;;;;
Kessel;G0929;10890;Limburg;P31;2396;2096;25;;2071;376;1193;337;58;;3;25;1;12;27;8;;3;24;;;2;;2;;;;;
Kesteren;G0258;10916;Gelderland;P25;5245;4805;19;;4786;1432;836;675;142;1461;12;31;36;19;76;17;29;11;1;7;;;1;;;;;;
Klaaswaal;G0539;10284;Zuid-Holland;P28;2470;2195;2;;2193;781;521;486;100;132;15;54;22;9;25;12;25;3;1;5;1;;;1;;;;;
Klimmen;G0930;10977;Limburg;P31;2780;2504;15;;2489;538;1226;440;69;2;8;115;1;10;16;8;1;7;43;;;2;2;1;;;;;
Kloosterburen;G0021;10628;Groningen;P20;1262;1133;3;;1130;336;584;126;20;2;4;16;14;3;2;5;2;;13;;;3;;;;;;;
Klundert;G0804;10656;Noord-Brabant;P30;4133;3724;27;;3697;852;1941;472;124;146;10;32;32;9;23;4;43;4;1;1;2;1;;;;;;;
Kockengen;G0324;10765;Utrecht;P26;1795;1692;11;;1681;186;825;219;74;225;2;29;16;15;39;7;36;;7;1;;;;;;;;;
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;7870;7164;46;;7118;1501;4328;535;139;180;51;43;99;16;64;25;121;7;2;2;3;;1;1;;;;;
Kortgene;G0682;10250;Zeeland;P29;2468;2306;9;;2297;946;577;432;93;145;11;18;22;9;17;18;2;5;;;;1;1;;;;;;
Koudekerk aan den Rijn;G0540;10029;Zuid-Holland;P28;2670;2451;20;;2431;545;1004;555;135;62;12;28;14;10;10;25;13;9;4;3;1;;;1;;;;;
Krimpen aan de Lek;G0541;10617;Zuid-Holland;P28;4064;3739;41;;3698;1648;594;743;260;279;35;29;21;26;11;19;12;12;1;2;2;;;4;;;;;
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;17255;15561;122;;15439;5475;2309;3720;1147;1814;148;193;205;82;27;109;95;81;10;5;10;4;2;3;;;;;
Landsmeer;G0415;11225;Noord-Holland;P27;5520;5116;28;;5088;1844;717;1312;482;13;354;150;11;61;17;62;14;38;6;2;;;1;1;3;;;;
Langbroek;G0325;11413;Utrecht;P26;1315;1231;2;;1229;239;449;225;62;205;3;6;7;7;13;5;3;1;3;;1;;;;;;;;
Langedijk;G0416;10955;Noord-Holland;P27;7846;7072;51;;7021;1819;2654;1455;469;13;182;101;43;49;31;53;103;15;24;3;;2;4;;1;;;;
Langerak;G0543;11127;Zuid-Holland;P28;1023;948;9;;939;231;241;138;38;149;1;4;58;2;8;3;65;1;;;;;;;;;;;
Laren;G0417;10649;Noord-Holland;P27;9676;8716;71;;8645;1823;2461;2997;705;39;48;195;20;89;47;93;11;18;74;14;;8;1;2;;;;;
Leek;G0022;10604;Groningen;P20;10465;9535;48;;9487;3542;2707;1594;474;48;76;126;561;66;152;53;59;14;7;4;;1;2;1;;;;;
Leende;G0805;11017;Noord-Brabant;P30;2522;2356;12;;2344;231;1470;441;83;;2;25;;10;11;18;1;1;43;2;1;;;5;;;;;
Leens;G0023;11050;Groningen;P20;2435;2225;16;;2209;740;710;294;44;13;26;30;297;21;6;5;12;3;5;1;;;1;1;;;;;
Leerbroek;G0544;10465;Zuid-Holland;P28;767;695;7;;688;68;218;77;22;248;2;4;13;2;18;1;9;6;;;;;;;;;;;
Leerdam;G0545;10685;Zuid-Holland;P28;9655;8627;88;;8539;3394;2204;1167;308;773;74;49;155;28;42;38;260;34;5;2;1;3;1;1;;;;;
Leersum;G0326;11142;Utrecht;P26;4235;4024;12;;4012;971;963;1317;209;293;8;39;37;29;62;29;35;8;8;;;3;;1;;;;;
Leeuwarden;G0080;11228;Fryslân;P21;61365;54968;284;;54684;26145;14710;6911;2857;202;567;834;642;627;113;346;332;108;71;157;26;8;12;16;;;;;
Leeuwarderadeel;G0081;10851;Fryslân;P21;5088;4786;28;;4758;2060;1550;644;277;15;20;47;29;36;16;28;24;4;1;5;;;1;1;;;;;
Leiden;G0546;10702;Zuid-Holland;P28;75765;66294;548;;65746;27153;13837;12103;5155;524;1588;1712;283;1256;195;679;269;208;169;461;60;58;18;18;;;;;
Leiderdorp;G0547;10058;Zuid-Holland;P28;11902;11028;59;;10969;2481;3173;3412;1044;129;57;218;63;97;25;108;59;29;18;48;3;2;2;1;;;;;
Leidschendam;G0548;10742;Zuid-Holland;P28;20460;18655;123;;18532;4053;6338;5170;1570;69;68;322;90;139;105;180;45;77;122;148;10;8;7;11;;;;;
Leimuiden;G0549;11351;Zuid-Holland;P28;2721;2439;20;;2419;388;1240;545;118;18;11;31;6;13;24;13;2;5;1;4;;;;;;;;;
Lekkerkerk;G0550;10050;Zuid-Holland;P28;5139;4764;48;;4716;1895;651;1286;279;412;33;38;19;19;24;40;10;3;2;2;;1;;2;;;;;
Lemsterland;G0082;10142;Fryslân;P21;6457;5801;36;;5765;2132;2114;626;262;88;288;50;32;28;41;27;53;7;8;2;2;3;2;;;;;;
Leusden;G0327;10978;Utrecht;P26;12198;11329;43;;11286;1783;4068;3180;950;287;38;244;317;78;68;81;74;25;66;9;15;1;2;;;;;;
Lexmond;G0551;10930;Zuid-Holland;P28;1568;1497;9;;1488;358;558;238;38;216;11;8;11;7;17;2;19;3;2;;;;;;;;;;
Lichtenvoorde;G0260;10242;Gelderland;P25;10179;9434;24;;9410;1416;6360;967;231;5;15;146;8;80;86;14;6;11;51;13;;1;;;;;;;
Liempde;G0806;10390;Noord-Brabant;P30;2464;2264;15;;2249;444;1413;188;103;1;4;18;2;6;37;2;;2;21;3;3;1;1;;;;;;
Lienden;G0261;11093;Gelderland;P25;4178;3869;14;;3855;1766;617;797;110;323;9;27;10;20;135;17;14;2;4;3;;;;1;;;;;
Lieshout;G0807;10637;Noord-Brabant;P30;3515;3169;8;;3161;687;1782;379;124;;17;44;1;28;58;10;;3;15;8;2;2;;1;;;;;
Limbricht;G0931;11124;Limburg;P31;3279;2928;27;;2901;721;1532;394;104;;14;41;1;29;23;11;3;4;20;3;;1;;;;;;;
Limmen;G0418;11370;Noord-Holland;P27;3077;2856;11;;2845;622;1244;563;164;1;40;70;3;16;83;11;8;8;9;;;2;1;;;;;;
Linne;G0932;10990;Limburg;P31;2581;2258;18;;2240;580;1041;394;62;;20;51;1;10;23;7;1;3;41;;;4;;2;;;;;
Linschoten;G0328;11324;Utrecht;P26;3643;3336;14;;3322;480;1446;703;186;293;11;54;26;14;30;21;35;11;11;1;;;;;;;;;
Lisse;G0553;10197;Zuid-Holland;P28;12170;11082;82;;11000;2011;4625;2417;611;620;51;226;60;65;58;47;97;30;64;6;5;2;;5;;;;;
Lith;G0808;11219;Noord-Brabant;P30;3471;3011;14;;2997;639;1761;351;73;;5;25;;9;36;5;3;1;15;71;2;1;;;;;;;
Lochem;G0262;11263;Gelderland;P25;12360;11343;50;;11293;3863;2715;3109;755;23;92;199;51;110;209;85;22;18;31;7;;1;1;1;;1;;;
Loenen;G0329;11202;Utrecht;P26;4704;4354;35;;4319;866;1419;1196;329;137;46;76;46;51;39;35;40;16;9;4;4;5;1;;;;;;
Loon op Zand;G0809;11259;Noord-Brabant;P30;12227;10914;101;;10813;2639;5418;1693;397;109;39;176;8;49;146;29;10;22;47;16;10;2;3;;;;;;
Loosdrecht;G0330;10639;Utrecht;P26;5755;5178;31;;5147;895;1442;1893;438;103;41;63;42;58;36;36;53;20;8;3;5;10;;1;;;;;
Lopik;G0331;10333;Utrecht;P26;4543;4185;28;;4157;961;1886;561;156;384;11;35;34;15;45;11;33;4;11;3;1;;3;3;;;;;
Loppersum;G0024;10934;Groningen;P20;2563;2369;6;;2363;761;985;310;75;6;26;23;116;19;9;10;16;3;2;1;;1;;;;;;;
Losser;G0168;11166;Overijssel;P23;13876;12477;50;;12427;3498;6483;1193;371;13;210;280;5;37;145;37;18;21;81;30;;;4;1;;;;;
Luyksgestel;G0810;10011;Noord-Brabant;P30;1630;1542;10;;1532;224;1025;152;63;5;1;11;3;7;24;7;;2;7;1;;;;;;;;;
Maarheeze;G0811;11143;Noord-Brabant;P30;5133;4606;15;;4591;677;2657;846;214;1;7;44;3;24;53;21;4;7;24;4;1;4;;;;;;;
Maarn;G0332;10392;Utrecht;P26;4292;3934;13;;3921;741;1065;1261;375;199;12;69;32;32;47;54;14;5;6;4;1;;2;2;;;;;
Maarssen;G0333;10191;Utrecht;P26;15127;13598;68;;13530;4013;4067;3258;1059;224;99;232;87;113;66;75;118;33;28;46;5;4;2;1;;;;;
Maartensdijk;G0334;10691;Utrecht;P26;5858;5358;37;;5321;1063;1512;1296;410;648;24;77;60;40;55;42;68;11;6;3;3;;2;1;;;;;
Maasbracht;G0933;10964;Limburg;P31;5181;4179;61;;4118;1063;1911;727;109;10;6;53;5;38;61;25;12;7;75;4;;9;;3;;;;;
Maasbree;G0934;11352;Limburg;P31;6297;5461;47;;5414;811;3376;784;145;1;16;110;;34;56;19;1;18;41;;;1;1;;;;;;
Maasdam;G0554;11019;Zuid-Holland;P28;2083;1939;14;;1925;623;395;506;127;196;8;14;12;10;12;3;11;3;2;2;;1;;;;;;;
Maasdriel;G0263;10341;Gelderland;P25;5110;4539;23;;4516;920;2604;635;131;27;10;38;2;7;57;9;2;3;37;31;;1;2;;;;;;
Maasland;G0555;10393;Zuid-Holland;P28;3478;3268;10;;3258;340;1800;739;139;55;6;36;27;9;8;10;69;6;10;2;1;;;1;;;;;
Maassluis;G0556;10880;Zuid-Holland;P28;19883;17629;81;;17548;6512;4606;3492;1336;271;113;306;202;104;57;136;233;88;24;46;9;2;5;4;;2;;;
Maastricht;G0935;10182;Limburg;P31;78421;61311;647;;60664;24161;20034;9991;2144;14;718;1248;28;535;403;241;31;166;682;102;;125;15;26;;;;;
Made en Drimmelen;G0812;10258;Noord-Brabant;P30;7585;6724;60;;6664;2373;2832;850;257;14;21;63;9;14;107;23;4;13;69;2;10;2;1;;;;;;
Margraten;G0936;11243;Limburg;P31;2241;2019;17;;2002;427;1068;319;71;2;6;38;1;14;19;6;1;4;23;;;2;;1;;;;;
Mariekerke;G0686;11221;Zeeland;P29;2064;1945;4;;1941;146;732;178;53;687;3;29;46;2;24;7;32;1;1;;;;;;;;;;
Markelo;G0169;11382;Overijssel;P23;4961;4554;26;;4528;1489;979;1440;252;43;14;42;6;16;178;35;21;3;6;4;;;;;;;;;
Marken;G0419;10901;Noord-Holland;P27;1384;1311;6;;1305;329;769;100;53;1;3;15;3;3;10;10;5;1;2;;;;;;1;;;;
Marum;G0025;11431;Groningen;P20;5531;5031;22;;5009;1909;1488;826;173;29;63;62;117;43;222;22;33;14;1;2;;;4;1;;;;;
Maurik;G0264;10300;Gelderland;P25;3984;3710;16;;3694;1723;813;762;126;94;11;39;16;11;55;13;15;3;3;10;;;;;;;;;
Medemblik;G0420;11215;Noord-Holland;P27;4252;3808;26;;3782;1253;1354;570;180;22;172;55;18;26;24;24;32;16;28;1;;4;1;1;1;;;;
Meeden;G0026;10304;Groningen;P20;1180;1109;10;;1099;619;267;98;20;8;30;11;23;8;9;2;4;;;;;;;;;;;;
Meerkerk;G0557;10618;Zuid-Holland;P28;1917;1758;6;;1752;485;547;375;64;188;7;19;6;6;27;3;22;1;1;;;;1;;;;;;
Meerlo-Wanssum;G0993;11416;Limburg;P31;4224;3753;19;;3734;616;2363;472;110;1;7;64;;30;24;4;1;6;27;4;;2;1;2;;;;;
Meerssen;G0938;10494;Limburg;P31;6026;5113;58;;5055;1419;2406;761;143;3;49;80;9;32;46;19;1;8;54;5;;18;1;1;;;;;
Megen, Haren en Macharen;G0813;10988;Noord-Brabant;P30;1837;1666;11;;1655;319;1025;137;66;;5;22;;10;14;6;;3;12;36;;;;;;;;;
Meijel;G0941;10925;Limburg;P31;3224;2660;22;;2638;449;1712;278;55;;4;30;;16;53;5;1;3;28;1;;2;;1;;;;;
Melick en Herkenbosch;G0939;10196;Limburg;P31;4211;3844;33;;3811;931;1568;896;124;1;9;56;3;19;46;16;;4;37;6;;93;1;1;;;;;
Menaldumadeel;G0083;11144;Fryslân;P21;8287;7801;47;;7754;3009;2822;1096;401;20;32;77;47;61;49;67;40;16;9;3;1;;2;2;;;;;
Meppel;G0119;11204;Drenthe;P22;15115;13851;71;;13780;5817;3803;2456;640;60;88;193;290;60;127;80;81;37;11;27;;1;6;3;;;;;
Merkelbeek;G0940;10763;Limburg;P31;1236;1076;19;;1057;277;546;144;25;;12;15;;6;12;4;;3;10;;;2;;1;;;;;
Mheer;G0942;10538;Limburg;P31;1167;1036;6;;1030;207;550;181;39;;2;15;;3;15;5;2;1;8;;;2;;;;;;;
Middelburg;G0687;10122;Zeeland;P29;25207;22189;74;;22115;7227;6181;3702;1417;1568;130;615;376;169;124;142;337;75;19;18;;5;6;4;;;;;
Middelharnis;G0559;11067;Zuid-Holland;P28;10194;9168;99;;9069;3170;1739;1283;287;2164;15;83;63;43;70;35;78;35;2;2;;;;;;;;;
Middelstum;G0027;11199;Groningen;P20;1975;1859;9;;1850;521;876;163;40;3;23;31;103;12;8;5;64;1;;;;;;;;;;;
Middenschouwen;G0688;10837;Zeeland;P29;1611;1484;7;;1477;406;474;271;61;124;4;11;39;4;20;10;49;3;;;;;;1;;;;;
Midwolda;G0028;10356;Groningen;P20;2867;2637;18;;2619;1038;1037;203;31;9;126;25;19;21;9;10;83;3;1;;;1;2;1;;;;;
Midwoud;G0422;10924;Noord-Holland;P27;1390;1263;9;;1254;538;125;380;124;2;23;22;2;15;4;12;2;;1;1;;;3;;;;;;
Mierlo;G0814;10215;Noord-Brabant;P30;5362;4881;14;;4867;1074;2379;939;234;3;21;81;1;18;45;26;3;4;26;9;1;1;1;1;;;;;
Mijdrecht;G0336;11379;Utrecht;P26;7545;6784;76;;6708;1121;2978;1634;361;122;20;124;61;37;69;34;102;7;28;;5;4;1;;;;;;
Mijnsheerenland;G0564;11112;Zuid-Holland;P28;2368;2183;8;;2175;548;619;676;141;100;6;19;20;8;11;9;11;6;;1;;;;;;;;;
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;6539;5926;38;;5888;1179;3716;581;145;1;15;46;1;37;70;12;;5;44;29;2;2;;3;;;;;
Millingen aan de Rijn;G0265;10072;Gelderland;P25;3394;3003;11;;2992;1300;1252;199;114;;7;46;;17;19;10;1;5;9;11;;;;2;;;;;
Moergestel;G0816;11191;Noord-Brabant;P30;3440;3169;19;;3150;581;1853;468;112;1;10;31;;19;37;14;;3;12;2;2;3;2;;;;;;
Moerkapelle;G0560;11383;Zuid-Holland;P28;1704;1554;17;;1537;323;365;286;93;399;3;10;10;2;7;7;27;3;;2;;;;;;;;;
Molenaarsgraaf;G0561;10166;Zuid-Holland;P28;601;550;2;;548;111;181;87;27;121;1;3;6;1;2;1;6;;;;;1;;;;;;;
Monnickendam;G0423;10983;Noord-Holland;P27;5657;5211;23;;5188;1681;1361;1219;430;9;152;143;15;37;28;52;6;28;14;2;;1;4;2;4;;;;
Monster;G0562;10019;Zuid-Holland;P28;12052;10700;93;;10607;1936;4765;2195;429;619;24;81;151;25;92;64;72;62;69;11;7;4;;;;1;;;
Montfoort;G0335;10033;Utrecht;P26;2566;2284;12;;2272;458;1001;442;122;115;7;49;4;7;10;10;5;;41;1;;;;;;;;;
Montfort;G0943;10266;Limburg;P31;2005;1711;23;;1688;489;751;256;35;;8;16;1;7;70;8;;6;33;;;7;1;;;;;;
Mook en Middelaar;G0944;10271;Limburg;P31;3675;3393;28;;3365;704;1479;733;229;;11;66;5;43;36;11;3;3;19;21;;2;;;;;;;
Moordrecht;G0563;10120;Zuid-Holland;P28;3854;3379;36;;3343;1167;849;606;255;248;16;57;39;14;33;25;14;11;3;3;1;2;;;;;;;
Muiden;G0424;10958;Noord-Holland;P27;4144;4144;31;;4113;1184;1184;1047;427;35;32;57;18;23;23;38;14;19;8;;;1;3;;;;;;
Munstergeleen;G0945;10273;Limburg;P31;3305;2923;23;;2900;789;1375;492;99;;25;52;;15;22;7;3;7;8;;;6;;;;;;;
Muntendam;G0029;10550;Groningen;P20;3000;2625;16;;2609;1701;257;242;74;7;219;14;19;16;12;10;27;3;3;3;;;2;;;;;;
Naaldwijk;G0565;11418;Zuid-Holland;P28;16139;14691;95;;14596;2474;7306;3296;578;197;20;178;92;49;83;89;53;43;125;7;2;;3;1;;;;;
Naarden;G0425;10187;Noord-Holland;P27;12059;10931;66;;10865;2386;2360;4268;948;144;94;171;52;86;66;129;67;50;36;4;;3;1;;;;;;
Nederhorst den Berg;G0426;10715;Noord-Holland;P27;3183;2907;27;;2880;714;1045;676;236;13;46;47;24;16;13;16;9;10;15;;;;;;;;;;
Nederweert;G0946;10681;Limburg;P31;8902;7877;76;;7801;1542;4711;917;148;2;20;92;;37;125;23;1;5;79;7;;90;2;;;;;;
Neede;G0266;10367;Gelderland;P25;7461;6896;34;;6862;2896;2209;1073;294;4;16;71;66;28;65;44;38;11;25;18;;;1;3;;;;;
Neer;G0947;10682;Limburg;P31;2302;1911;15;;1896;337;1111;249;62;;4;32;;17;28;8;;2;40;2;;3;;1;;;;;
Nibbixwoud;G0427;10091;Noord-Holland;P27;1771;1622;18;;1604;375;750;333;55;2;16;25;2;10;6;5;;2;21;1;;;;;1;;;;
Niedorp;G0412;10923;Noord-Holland;P27;4912;4441;21;;4420;1645;1259;907;307;3;76;61;5;50;41;32;8;3;19;;;3;;1;;;;;
Nieuw-Beijerland;G0566;10092;Zuid-Holland;P28;1951;1783;16;;1767;509;291;393;106;359;7;26;8;5;8;22;21;7;2;;2;1;;;;;;;
Nieuwe Pekela;G0030;10950;Groningen;P20;3716;3266;33;;3233;1306;954;423;62;24;273;38;18;19;25;5;67;4;10;1;;;3;1;;;;;
Nieuwegein;G0356;10374;Utrecht;P26;16396;14822;73;;14749;4732;4767;3062;1044;243;98;276;86;113;67;83;56;30;38;33;8;4;3;6;;;;;
Nieuwenhagen;G0948;10088;Limburg;P31;6613;5540;86;;5454;2130;1806;821;174;6;165;124;2;40;40;41;2;14;47;31;;;9;2;;;;;
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;6848;6283;58;;6225;1930;1537;1462;347;562;21;58;40;33;51;48;89;32;5;1;1;6;2;;;;;;
Nieuweschans;G0031;10008;Groningen;P20;1327;1260;12;;1248;623;87;109;22;2;376;9;;3;4;8;1;;;;;1;3;;;;;;
Nieuw-Ginneken;G0817;10406;Noord-Brabant;P30;6656;6223;37;;6186;1209;2997;1419;302;7;11;76;2;18;76;25;;8;26;2;4;2;;2;;;;;
Nieuwkoop;G0569;10728;Zuid-Holland;P28;5688;5226;36;;5190;1042;2047;1351;290;137;17;124;10;27;28;36;49;13;11;4;1;2;;1;;;;;
Nieuwland;G0570;11213;Zuid-Holland;P28;497;445;6;;439;92;148;59;5;99;1;;6;;9;2;16;2;;;;;;;;;;;
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;4788;4315;26;;4289;1489;823;431;214;1041;26;47;115;13;13;24;36;8;;3;4;2;;;;;;;
Nieuwleusen;G0170;10384;Overijssel;P23;4745;4303;12;;4291;906;1941;588;127;152;3;34;165;9;301;15;37;5;;4;;1;1;2;;;;;
Nieuwolda;G0032;10126;Groningen;P20;1162;1059;9;;1050;516;263;163;15;4;25;20;11;10;5;9;2;1;;1;;;4;1;;;;;
Nieuwpoort;G0572;10748;Zuid-Holland;P28;745;700;8;;692;193;176;107;24;129;1;1;18;;16;3;23;;;;;;;;;1;;;
Nieuwstadt;G0949;11140;Limburg;P31;2123;1882;26;;1856;564;830;276;76;;14;35;;9;17;16;;5;12;;;;1;1;;;;;
Nieuwveen;G0573;10487;Zuid-Holland;P28;1846;1490;7;;1483;220;773;330;43;39;3;35;6;5;3;8;6;1;9;1;;;;1;;;;;
Nieuw-Vossemeer;G0818;10401;Noord-Brabant;P30;1461;1354;5;;1349;604;537;141;23;2;2;16;;3;14;3;1;1;2;;;;;;;;;;
Nigtevecht;G0337;10160;Utrecht;P26;785;714;4;;710;185;261;174;53;3;5;10;1;3;7;2;5;1;;;;;;;;;;;
Nijeveen;G0121;10774;Drenthe;P22;1730;1661;9;;1652;441;707;327;78;7;4;12;28;2;26;9;7;2;;2;;;;;;;;;
Nijkerk;G0267;10446;Gelderland;P25;14423;13198;52;;13146;3046;5379;1968;520;1116;27;129;227;31;253;70;336;11;21;4;;2;2;2;;2;;;
Nijmegen;G0268;11209;Gelderland;P25;106569;91923;394;;91529;33813;29515;11356;5602;76;1023;3189;143;2968;441;339;81;240;462;2163;;58;41;19;;;;;
Nistelrode;G0819;10094;Noord-Brabant;P30;3913;3504;19;;3485;786;2143;284;92;2;4;34;1;22;47;7;3;5;15;38;1;;;1;;;;;
Noorbeek;G0950;10283;Limburg;P31;716;718;4;;714;151;406;83;24;;5;16;;7;4;5;;;13;;;;;;;;;;
Noordeloos;G0574;10296;Zuid-Holland;P28;924;876;8;;868;132;315;175;21;175;1;7;12;;7;5;18;;;;;;;;;;;;
Noordoostpolder;G0171;10144;Overijssel;P23;23109;21344;40;;21304;5147;9382;3442;1026;383;192;295;443;131;159;154;450;48;30;13;;6;1;2;;;;;
Noordwijk;G0575;10769;Zuid-Holland;P28;15753;13198;132;;13066;3068;4972;3037;698;156;90;474;74;102;91;107;30;32;96;10;14;10;1;4;;;;;
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;9068;8092;56;;8036;1357;3705;1886;451;16;42;120;18;133;97;52;7;19;115;12;5;;;1;;;;;
Nootdorp;G0577;10601;Zuid-Holland;P28;3968;3518;34;;3484;559;1640;845;229;24;14;39;15;19;28;25;8;18;14;1;3;1;;2;;;;;
Norg;G0120;10608;Drenthe;P22;4150;3836;12;;3824;1417;684;1162;211;20;16;56;38;27;121;31;9;17;1;9;;2;;3;;;;;
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;10049;9133;22;;9111;1870;4080;1972;742;2;21;168;22;67;58;47;11;13;24;7;5;1;;1;;;;;
Nuland;G0821;10118;Noord-Brabant;P30;2414;2128;14;;2114;347;1395;190;57;;1;18;1;4;18;1;;2;6;70;3;;1;;;;;;
Numansdorp;G0578;11346;Zuid-Holland;P28;5095;4718;29;;4689;2091;961;887;254;319;13;33;22;11;38;18;10;21;2;3;2;1;;2;;1;;;
Nunspeet;G0302;10512;Gelderland;P25;13959;13588;52;;13536;1867;4519;2333;483;2736;40;113;166;27;336;100;774;19;8;6;;5;2;1;;1;;;
Nuth;G0951;10104;Limburg;P31;5317;4784;39;;4745;1658;2006;578;130;1;38;134;1;35;44;12;2;7;60;16;;17;1;5;;;;;
Obbicht en Papenhoven;G0952;10388;Limburg;P31;1613;1402;14;;1388;438;700;126;37;;13;22;2;8;13;8;1;7;5;1;;7;;;;;;;
Obdam;G0429;11338;Noord-Holland;P27;2477;2305;16;;2289;363;1305;325;124;2;12;59;;16;16;19;2;1;45;;;;;;;;;;
Odoorn;G0122;11320;Drenthe;P22;8649;7850;48;;7802;3880;1509;1567;251;17;123;66;110;36;69;49;74;19;8;9;;5;2;8;;;;;
Oeffelt;G0822;10360;Noord-Brabant;P30;1342;1207;8;;1199;233;766;98;40;;8;18;;9;15;3;1;2;5;1;;;;;;;;;
Oegstgeest;G0579;10287;Zuid-Holland;P28;10855;9858;114;;9744;1589;2840;3469;943;62;44;272;92;97;34;139;57;25;53;14;6;3;3;2;;;;;
Ohé en Laak;G0953;10420;Limburg;P31;542;496;3;;493;76;316;60;6;;2;;2;3;3;4;;;16;;;5;;;;;;;
Oirsbeek;G0954;10504;Limburg;P31;3135;2880;19;;2861;742;1388;446;108;1;19;43;;20;30;18;;1;23;7;;14;1;;;;;;
